Palabra,Donald Trump,James David Vance,Joe Biden,Kamala Harris,Tim Walz
dignity,1,1,15,7,4
popular,14,4,14,7,4
winner,3,4,1,7,4
fresh,3,3,9,6,4
favor,14,6,7,6,4
solid,1,1,7,6,4
compassion,4,0,18,5,4
supported,2,6,8,5,4
cheer,8,0,7,5,4
hopeful,1,0,8,4,4
incredibly,2,3,8,3,4
achievement,1,1,7,3,4
kudos,3,0,6,3,4
compassionate,1,1,6,2,4
impressive,4,3,5,2,4
commitment,4,1,4,2,4
compliment,0,1,1,1,4
balanced,1,1,3,0,4
excellent,3,5,31,17,3
proven,12,3,17,12,3
brilliant,8,12,11,11,3
goodness,3,4,9,9,3
cute,5,3,4,9,3
progress,2,0,14,7,3
accomplished,3,1,19,6,3
bright,6,3,9,6,3
classy,2,3,4,6,3
led,10,1,18,5,3
prosperity,9,4,7,5,3
talent,3,2,3,5,3
honesty,3,5,8,4,3
warm,4,1,4,3,3
accomplish,2,1,2,3,3
qualify,2,0,2,3,3
patient,2,1,17,2,3
fabulous,0,0,9,2,3
reasonable,5,3,4,2,3
grand,4,2,3,2,3
happily,3,0,2,2,3
likable,1,0,1,2,3
friendly,2,1,5,1,3
valuable,2,0,5,1,3
sufficient,1,1,2,1,3
charisma,4,1,1,1,3
award,1,0,1,1,3
charismatic,2,1,5,0,3
encouraging,1,0,4,0,3
accessible,3,1,0,0,3
ease,0,1,0,0,3
endorse,2,1,6,57,2
patriot,6,7,8,12,2
holy,11,2,16,9,2
smiling,4,1,6,8,2
convincing,0,3,1,8,2
gain,9,4,17,7,2
beautifully,0,0,2,7,2
stronger,8,1,11,6,2
effective,2,0,8,6,2
quiet,11,1,4,6,2
calm,3,1,11,5,2
truthful,1,2,10,5,2
admire,3,1,9,5,2
success,5,6,8,5,2
impressed,0,2,6,5,2
ideal,6,5,4,5,2
congratulation,5,5,4,5,2
heaven,4,2,4,5,2
respectful,4,6,2,5,2
joyful,0,0,0,5,2
mighty,5,1,31,4,2
bravo,1,0,7,4,2
praise,14,2,5,4,2
outstanding,2,0,5,4,2
virtue,0,0,3,4,2
entertaining,3,0,1,4,2
harmony,0,0,0,4,2
worthy,2,2,9,3,2
champion,3,2,4,3,2
reward,1,4,3,3,2
guarantee,1,3,3,3,2
richer,0,1,3,3,2
inspiration,0,0,3,3,2
lover,4,2,2,3,2
fame,3,1,0,3,2
approval,6,3,18,2,2
priceless,0,0,5,2,2
righteous,2,1,4,2,2
stability,5,0,4,2,2
genius,7,3,3,2,2
properly,6,1,3,2,2
glory,12,1,2,2,2
freed,0,0,2,2,2
brighter,1,1,1,2,2
favour,1,1,1,2,2
dedicated,0,1,1,2,2
smartest,1,1,0,2,2
regard,9,3,9,1,2
celebrate,0,0,6,1,2
finest,4,2,5,1,2
prosperous,0,2,3,1,2
yay,2,1,3,1,2
merit,1,0,3,1,2
useful,1,3,2,1,2
defeated,2,2,2,1,2
shine,2,0,2,1,2
attractive,3,1,1,1,2
boom,1,1,1,1,2
appealing,0,1,1,1,2
concise,1,0,1,1,2
gentle,1,2,0,1,2
creative,2,0,0,1,2
woo,1,0,0,1,2
ethical,0,1,7,0,2
improved,0,0,4,0,2
smooth,3,2,3,0,2
succeed,7,1,3,0,2
gem,0,0,3,0,2
trustworthy,0,4,2,0,2
innovation,0,0,2,0,2
empower,0,0,2,0,2
prominent,1,2,1,0,2
thrilled,0,1,1,0,2
unbiased,0,1,1,0,2
skilled,1,0,1,0,2
delighted,0,0,1,0,2
amusing,2,0,0,0,2
tender,1,0,0,0,2
rockstar,1,0,0,0,2
staunch,1,0,0,0,2
satisfy,1,0,0,0,2
trophy,0,0,0,0,2
courage,3,0,5,15,1
openly,2,1,3,14,1
happiness,2,6,2,10,1
grace,5,4,6,9,1
brave,2,0,7,8,1
articulate,5,6,6,8,1
encourage,3,0,1,8,1
healthy,4,0,18,7,1
liberty,2,8,2,7,1
privilege,6,0,0,7,1
fast,12,3,22,6,1
wise,4,3,22,6,1
defeat,2,2,10,6,1
accurate,4,3,8,6,1
golden,3,0,4,6,1
wisely,1,1,1,6,1
comfort,1,1,1,6,1
triumph,3,1,0,6,1
sincere,1,5,1,5,1
strongest,2,2,35,4,1
approve,2,0,35,4,1
capable,3,4,25,4,1
coherent,5,0,23,4,1
prefer,4,2,15,4,1
grateful,4,1,11,4,1
modern,8,5,10,4,1
sincerely,1,2,10,4,1
confidence,5,0,8,4,1
perfectly,8,1,5,4,1
relief,0,1,5,4,1
patriotic,2,0,5,4,1
beauty,5,1,3,4,1
promising,3,1,3,4,1
gained,1,2,2,4,1
sensible,0,1,2,4,1
treasure,1,0,2,4,1
poised,3,0,0,4,1
meaningful,0,0,0,4,1
heartwarming,0,0,0,4,1
accomplishment,3,0,28,3,1
handsome,1,1,14,3,1
correctly,2,3,5,3,1
cheaper,4,0,4,3,1
consistently,0,2,3,3,1
salute,2,0,3,3,1
appreciated,1,0,3,3,1
appropriate,3,0,2,3,1
eloquent,0,1,1,3,1
idol,2,0,1,3,1
prize,1,0,1,3,1
surreal,0,0,1,3,1
lean,2,1,7,2,1
thoughtful,1,0,7,2,1
soft,3,0,6,2,1
trusted,6,2,5,2,1
transparent,5,0,5,2,1
classic,0,2,4,2,1
loyalty,4,5,3,2,1
uphold,4,1,3,2,1
sensitive,2,0,3,2,1
influential,1,0,3,2,1
precious,6,1,2,2,1
boost,1,1,2,2,1
recovery,6,0,2,2,1
instantly,3,0,2,2,1
dominate,2,0,2,2,1
admiration,1,2,1,2,1
guidance,1,0,1,2,1
passionate,0,0,1,2,1
envy,1,0,0,2,1
ftw,0,0,0,2,1
illuminati,0,0,0,2,1
pep,0,0,0,2,1
peaceful,8,5,32,1,1
significant,3,1,11,1,1
dynamic,1,3,7,1,1
clever,2,1,6,1,1
kindness,2,0,6,1,1
magic,3,0,5,1,1
talented,2,1,4,1,1
unreal,0,0,4,1,1
advocate,1,4,3,1,1
exciting,2,1,3,1,1
adore,1,1,3,1,1
miracle,9,0,3,1,1
humility,3,0,3,1,1
courageous,2,0,3,1,1
charm,0,0,3,1,1
knowledgeable,1,2,2,1,1
consistent,2,1,2,1,1
willingness,1,1,2,1,1
convenient,3,0,2,1,1
noble,2,0,2,1,1
succeeded,2,0,2,1,1
spirited,0,0,2,1,1
beloved,1,2,1,1,1
backbone,2,1,1,1,1
fortune,1,1,1,1,1
instrumental,0,1,1,1,1
gladly,2,0,1,1,1
resilient,2,0,1,1,1
pleasure,1,0,1,1,1
clarity,1,0,1,1,1
warmth,0,0,1,1,1
precise,0,0,1,1,1
enthusiasm,0,0,1,1,1
gifted,0,0,1,1,1
redemption,0,0,1,1,1
loyal,5,7,0,1,1
heavenly,0,2,0,1,1
pleasant,3,1,0,1,1
convenience,0,1,0,1,1
respectfully,0,1,0,1,1
truthfulness,2,0,0,1,1
advocated,1,0,0,1,1
beneficial,1,0,0,1,1
romantic,0,0,0,1,1
appreciative,0,0,0,1,1
aspire,0,0,0,1,1
excel,0,0,0,1,1
stunned,0,0,0,1,1
eager,0,0,0,1,1
pleased,0,0,0,1,1
accolade,0,0,0,1,1
relish,0,0,0,1,1
fav,0,0,0,1,1
sharp,4,1,28,0,1
energetic,1,0,11,0,1
optimism,1,0,5,0,1
witty,1,1,4,0,1
productive,1,1,4,0,1
steady,3,0,4,0,1
diplomatic,0,1,3,0,1
defeating,2,0,3,0,1
booming,1,0,3,0,1
improving,0,0,3,0,1
believable,3,4,2,0,1
entertain,1,2,2,0,1
exceptional,0,1,2,0,1
astounding,3,0,2,0,1
ovation,2,0,2,0,1
dominated,2,0,2,0,1
praising,1,0,2,0,1
respectable,1,0,2,0,1
humane,0,0,2,0,1
cleared,0,0,2,0,1
reputable,0,0,2,0,1
slick,3,2,1,0,1
truthfully,0,1,1,0,1
proving,3,0,1,0,1
fiery,0,0,1,0,1
revere,0,0,1,0,1
innovative,0,0,1,0,1
seasoned,0,0,1,0,1
breakthrough,0,0,1,0,1
rightful,0,0,1,0,1
rightfully,0,0,1,0,1
brotherly,0,0,1,0,1
awarded,0,0,1,0,1
facilitate,0,0,1,0,1
selective,0,0,1,0,1
benevolent,0,0,1,0,1
supportive,2,3,0,0,1
outshine,0,1,0,0,1
outdo,0,1,0,0,1
decisive,0,1,0,0,1
gleefully,1,0,0,0,1
amuse,1,0,0,0,1
honored,1,0,0,0,1
admirer,1,0,0,0,1
affirm,0,0,0,0,1
galore,0,0,0,0,1
magical,0,0,0,0,1
rapturous,0,0,0,0,1
jubilation,0,0,0,0,1
excitedly,0,0,0,0,1
intimate,0,0,0,0,1
unabashed,0,0,0,0,1
gleeful,0,0,0,0,1
complement,0,0,0,0,1
substantive,0,0,0,0,1
graceful,0,0,0,0,1
savvy,0,0,0,0,1
sensational,0,0,0,0,1
graciousness,0,0,0,0,1
affluent,0,0,0,0,1
groundbreaking,0,0,0,0,1
lovable,0,0,0,0,1
prominence,0,0,0,0,1
workable,0,0,0,0,1
premier,0,0,0,0,1
enthusiast,0,0,0,0,1
spotless,0,0,0,0,1
benifits,0,0,0,0,1
fervently,0,0,0,0,1
complementary,0,0,0,0,1
soundly,0,0,0,0,1
prowess,0,0,0,0,1
integrated,0,0,0,0,1
plentiful,0,0,0,0,1
delightful,0,0,0,0,1
benefactor,0,0,0,0,1
endorses,0,3,3,20,0
enjoyed,1,2,11,8,0
reputation,1,0,4,8,0
heartfelt,1,1,1,8,0
fearless,2,0,0,7,0
improve,3,1,9,6,0
easier,2,0,8,5,0
enjoying,1,1,7,5,0
contribution,3,0,3,5,0
adorable,1,0,1,5,0
gold,10,0,13,4,0
stable,4,1,6,4,0
thriving,0,0,3,4,0
passion,4,1,2,4,0
gorgeous,6,0,2,4,0
revelation,3,2,1,4,0
uplifting,0,0,1,4,0
wonderfully,0,0,0,4,0
empathy,4,1,14,3,0
helpful,0,0,6,3,0
wellbeing,0,0,5,3,0
spiritual,3,0,4,3,0
credible,2,2,3,3,0
pardon,7,1,3,3,0
nicely,1,1,3,3,0
cure,3,0,3,3,0
fortunate,2,0,3,3,0
honorable,3,3,2,3,0
successfully,3,2,2,3,0
destiny,1,0,2,3,0
fascinating,1,0,2,3,0
patience,2,1,1,3,0
brightest,2,1,1,3,0
motivated,4,0,1,3,0
faithful,1,0,1,3,0
realistic,0,0,1,3,0
hail,0,0,1,3,0
rightly,0,0,1,3,0
elegant,1,1,0,3,0
liking,2,0,0,3,0
sexy,1,0,0,3,0
relaxed,0,0,0,3,0
cherish,0,0,0,3,0
marvel,0,0,0,3,0
effectively,5,2,4,2,0
peacefully,1,2,4,2,0
profound,1,0,4,2,0
confident,3,0,3,2,0
engaging,1,0,3,2,0
advanced,0,0,3,2,0
improvement,1,3,2,2,0
inspirational,1,1,2,2,0
terrific,0,1,2,2,0
fairly,2,0,2,2,0
grin,0,0,2,2,0
suitable,0,0,2,2,0
bravery,0,0,2,2,0
fairness,1,1,1,2,0
amazed,1,1,1,2,0
luxury,0,1,1,2,0
willingly,2,0,1,2,0
saint,2,0,1,2,0
heroic,1,0,1,2,0
unlimited,0,0,1,2,0
stellar,0,0,1,2,0
delicious,0,0,1,2,0
glorify,0,0,1,2,0
victorious,0,0,1,2,0
righteousness,2,1,0,2,0
survivor,0,1,0,2,0
abundance,2,0,0,2,0
privileged,2,0,0,2,0
empowerment,0,0,0,2,0
positively,0,0,0,2,0
togetherness,0,0,0,2,0
comfortably,0,0,0,2,0
richness,0,0,0,2,0
chic,0,0,0,2,0
sincerity,0,0,0,2,0
cherished,0,0,0,2,0
hallmark,0,0,0,2,0
humour,1,0,10,1,0
thankful,4,2,9,1,0
silent,6,1,9,1,0
trumpet,1,1,6,1,0
remarkable,1,0,6,1,0
rational,6,0,5,1,0
applaud,0,2,4,1,0
assure,1,0,4,1,0
divine,6,5,3,1,0
greatness,1,3,3,1,0
perfection,1,0,3,1,0
maturity,1,0,3,1,0
gaining,0,0,3,1,0
superior,1,4,2,1,0
ambitious,0,3,2,1,0
stunning,4,2,2,1,0
morality,0,1,2,1,0
unconditional,2,0,2,1,0
comprehensive,1,0,2,1,0
bonus,1,0,2,1,0
astonishing,1,0,2,1,0
supremacy,1,0,2,1,0
exceed,0,0,2,1,0
favored,0,0,2,1,0
refund,0,0,2,1,0
capability,0,0,2,1,0
trusting,2,3,1,1,0
prosper,2,2,1,1,0
foremost,1,2,1,1,0
superiority,1,1,1,1,0
sophisticated,1,1,1,1,0
cheerful,0,1,1,1,0
quicker,0,1,1,1,0
smoothly,0,1,1,1,0
affirmative,0,1,1,1,0
variety,0,1,1,1,0
excellence,2,0,1,1,0
graciously,2,0,1,1,0
gratification,2,0,1,1,0
happier,1,0,1,1,0
cozy,1,0,1,1,0
remedy,1,0,1,1,0
prompt,1,0,1,1,0
peach,1,0,1,1,0
contentment,0,0,1,1,0
memorable,0,0,1,1,0
improves,0,0,1,1,0
upbeat,0,0,1,1,0
devout,0,0,1,1,0
tenacity,0,0,1,1,0
tenacious,0,0,1,1,0
fastest,0,0,1,1,0
economical,0,0,1,1,0
vivid,0,0,1,1,0
honoring,0,0,1,1,0
equitable,0,0,1,1,0
rejoice,0,0,1,1,0
gracious,1,2,0,1,0
darling,5,1,0,1,0
efficient,0,1,0,1,0
fortunately,0,1,0,1,0
homage,0,1,0,1,0
redeeming,0,1,0,1,0
unbeatable,0,1,0,1,0
magnificent,0,1,0,1,0
pleasing,0,1,0,1,0
solidarity,0,1,0,1,0
vouch,0,1,0,1,0
insightful,0,1,0,1,0
tranquility,0,1,0,1,0
fortitude,0,1,0,1,0
flawless,0,1,0,1,0
angel,5,0,0,1,0
awe,2,0,0,1,0
enlighten,2,0,0,1,0
breathtaking,2,0,0,1,0
elegantly,1,0,0,1,0
awsome,1,0,0,1,0
lighter,1,0,0,1,0
neatly,1,0,0,1,0
masterfully,1,0,0,1,0
extraordinary,1,0,0,1,0
tougher,1,0,0,1,0
wholeheartedly,1,0,0,1,0
lively,1,0,0,1,0
rewarding,0,0,0,1,0
admiring,0,0,0,1,0
eloquently,0,0,0,1,0
poise,0,0,0,1,0
glowing,0,0,0,1,0
flattering,0,0,0,1,0
passionately,0,0,0,1,0
uplift,0,0,0,1,0
merry,0,0,0,1,0
astounded,0,0,0,1,0
perseverance,0,0,0,1,0
warmly,0,0,0,1,0
cleanest,0,0,0,1,0
friendliness,0,0,0,1,0
enjoyable,0,0,0,1,0
beckons,0,0,0,1,0
marvelous,0,0,0,1,0
awesomeness,0,0,0,1,0
suave,0,0,0,1,0
joyous,0,0,0,1,0
distinction,0,0,0,1,0
intuitive,0,0,0,1,0
expertly,0,0,0,1,0
divinely,0,0,0,1,0
advantageous,0,0,0,1,0
exuberance,0,0,0,1,0
endearing,0,0,0,1,0
paramount,0,0,0,1,0
proficiently,0,0,0,1,0
fearlessly,0,0,0,1,0
thoughtfulness,0,0,0,1,0
attraction,0,0,0,1,0
richly,0,0,0,1,0
revive,0,0,0,1,0
soulful,0,0,0,1,0
worthwhile,0,0,0,1,0
empathize,0,0,0,1,0
assuring,0,0,0,1,0
unparalleled,0,0,0,1,0
enticing,0,0,0,1,0
unrestricted,0,0,0,1,0
simpler,0,0,0,1,0
noteworthy,0,0,0,1,0
bargain,0,0,0,1,0
preferable,0,0,0,1,0
powerfully,0,0,0,1,0
thrilling,0,0,0,1,0
monumental,0,0,0,1,0
unselfish,0,0,0,1,0
illuminate,0,0,0,1,0
poetic,0,0,0,1,0
courageously,0,0,0,1,0
dazzle,0,0,0,1,0
understandable,0,0,0,1,0
sensibly,0,0,0,1,0
earnest,0,0,0,1,0
amaze,0,0,0,1,0
compatible,0,0,0,1,0
enhancement,0,0,0,1,0
audibly,0,0,0,1,0
mesmerized,0,0,0,1,0
charitable,0,0,0,1,0
prestige,0,0,0,1,0
entice,0,0,0,1,0
acumen,0,0,0,1,0
available,6,5,11,0,0
gratitude,1,0,6,0,0
sustainable,1,0,5,0,0
gracefully,0,0,5,0,0
logical,3,5,4,0,0
recommend,0,3,4,0,0
savior,3,2,4,0,0
thrive,2,1,4,0,0
heal,2,1,4,0,0
whoa,2,0,4,0,0
humorous,1,0,4,0,0
dignified,0,0,4,0,0
lucid,0,0,4,0,0
everlasting,1,1,3,0,0
faster,0,1,3,0,0
restored,0,1,3,0,0
kindly,3,0,3,0,0
defender,1,0,3,0,0
striking,1,0,3,0,0
safely,0,0,3,0,0
recommendation,0,0,3,0,0
straightforward,0,0,3,0,0
impartial,2,1,2,0,0
celebrated,1,1,2,0,0
clearer,1,1,2,0,0
recover,1,1,2,0,0
survival,1,1,2,0,0
amazingly,0,1,2,0,0
mature,0,1,2,0,0
polite,4,0,2,0,0
timely,3,0,2,0,0
fancy,3,0,2,0,0
toughest,3,0,2,0,0
easiest,3,0,2,0,0
unmatched,2,0,2,0,0
optimistic,1,0,2,0,0
reliable,1,0,2,0,0
enlightenment,1,0,2,0,0
vigilant,1,0,2,0,0
verifiable,1,0,2,0,0
legendary,1,0,2,0,0
favorable,1,0,2,0,0
breeze,0,0,2,0,0
glow,0,0,2,0,0
indebted,0,0,2,0,0
robust,0,0,2,0,0
spectacular,0,0,2,0,0
optimal,0,0,2,0,0
recommended,0,0,2,0,0
handy,0,0,2,0,0
impress,0,0,2,0,0
invaluable,0,0,2,0,0
enthusiastic,0,0,2,0,0
exceeded,0,0,2,0,0
sharper,0,0,2,0,0
appreciates,0,0,2,0,0
consummate,0,0,2,0,0
readily,0,0,2,0,0
cheapest,0,0,2,0,0
deservedly,0,0,2,0,0
zeal,0,0,2,0,0
illuminating,0,0,2,0,0
refined,0,0,2,0,0
orderly,0,0,2,0,0
phenomenal,3,2,1,0,0
generous,0,2,1,0,0
formidable,0,2,1,0,0
amazes,3,1,1,0,0
obsession,2,1,1,0,0
adequate,1,1,1,0,0
inspire,0,1,1,0,0
encouragement,0,1,1,0,0
favorited,0,1,1,0,0
redeem,0,1,1,0,0
charming,3,0,1,0,0
accurately,2,0,1,0,0
upheld,2,0,1,0,0
protective,2,0,1,0,0
surpass,1,0,1,0,0
commendable,1,0,1,0,0
cohesive,1,0,1,0,0
daring,1,0,1,0,0
reasonably,1,0,1,0,0
hottest,1,0,1,0,0
effectiveness,1,0,1,0,0
deserving,1,0,1,0,0
paradise,1,0,1,0,0
ample,1,0,1,0,0
striving,1,0,1,0,0
revolutionary,1,0,1,0,0
dreamland,1,0,1,0,0
colorful,1,0,1,0,0
competitive,1,0,1,0,0
undisputed,1,0,1,0,0
comforting,1,0,1,0,0
agility,0,0,1,0,0
dawn,0,0,1,0,0
blissfully,0,0,1,0,0
coolest,0,0,1,0,0
sparkle,0,0,1,0,0
angelic,0,0,1,0,0
illustrious,0,0,1,0,0
stabilize,0,0,1,0,0
excellency,0,0,1,0,0
immaculately,0,0,1,0,0
diligent,0,0,1,0,0
calming,0,0,1,0,0
unassailable,0,0,1,0,0
lush,0,0,1,0,0
mightily,0,0,1,0,0
smitten,0,0,1,0,0
enhanced,0,0,1,0,0
warmer,0,0,1,0,0
renowned,0,0,1,0,0
unwavering,0,0,1,0,0
distinguished,0,0,1,0,0
splendid,0,0,1,0,0
heartily,0,0,1,0,0
feisty,0,0,1,0,0
effortlessly,0,0,1,0,0
erudite,0,0,1,0,0
admirable,0,0,1,0,0
humourous,0,0,1,0,0
bountiful,0,0,1,0,0
achievable,0,0,1,0,0
considerate,0,0,1,0,0
reformed,0,0,1,0,0
overtaken,0,0,1,0,0
subsidized,0,0,1,0,0
succeeds,0,0,1,0,0
rapport,0,0,1,0,0
overtake,0,0,1,0,0
miraculously,0,0,1,0,0
quieter,0,0,1,0,0
impartially,0,0,1,0,0
dumbfounded,0,0,1,0,0
ameliorate,0,0,1,0,0
responsibly,0,0,1,0,0
inexpensive,0,0,1,0,0
civilize,0,0,1,0,0
purposeful,0,0,1,0,0
captivating,0,0,1,0,0
pampers,0,0,1,0,0
fluent,0,0,1,0,0
exceeds,0,0,1,0,0
refunded,0,0,1,0,0
revival,0,0,1,0,0
comely,0,0,1,0,0
enrich,0,0,1,0,0
satisfied,0,0,1,0,0
feat,0,0,1,0,0
delight,0,0,1,0,0
exquisite,0,0,1,0,0
impeccable,0,0,1,0,0
nourishing,0,0,1,0,0
admirably,0,0,1,0,0
satisified,0,0,1,0,0
congratulate,0,0,1,0,0
serene,0,0,1,0,0
reclaim,0,0,1,0,0
harmonious,0,0,1,0,0
dazzled,0,0,1,0,0
blossom,0,0,1,0,0
elevate,0,0,1,0,0
coherence,0,0,1,0,0
constructive,0,0,1,0,0
entrust,0,0,1,0,0
civility,0,0,1,0,0
painless,0,0,1,0,0
overtook,0,0,1,0,0
fresher,0,0,1,0,0
foresight,0,0,1,0,0
keen,0,0,1,0,0
phenomenally,0,0,1,0,0
adulation,0,0,1,0,0
brighten,0,0,1,0,0
flexible,1,4,0,0,0
aspiration,0,3,0,0,0
heroine,0,2,0,0,0
sweetheart,3,1,0,0,0
rapid,2,1,0,0,0
ideally,2,1,0,0,0
succeeding,1,1,0,0,0
lawful,1,1,0,0,0
miraculous,1,1,0,0,0
abundant,1,1,0,0,0
masterpiece,1,1,0,0,0
reverent,0,1,0,0,0
credence,0,1,0,0,0
doubtless,0,1,0,0,0
guiltless,0,1,0,0,0
nicer,0,1,0,0,0
dependable,0,1,0,0,0
prefered,0,1,0,0,0
playful,0,1,0,0,0
harmless,0,1,0,0,0
polished,0,1,0,0,0
covenant,0,1,0,0,0
reverence,0,1,0,0,0
sharpest,0,1,0,0,0
cleaner,0,1,0,0,0
intriguing,0,1,0,0,0
ingenious,0,1,0,0,0
revolutionize,0,1,0,0,0
reasoned,0,1,0,0,0
exonerate,0,1,0,0,0
pleasantly,0,1,0,0,0
agile,0,1,0,0,0
respite,0,1,0,0,0
enjoys,3,0,0,0,0
refine,2,0,0,0,0
famously,2,0,0,0,0
saver,2,0,0,0,0
exalted,2,0,0,0,0
speedy,2,0,0,0,0
valiant,2,0,0,0,0
prestigious,1,0,0,0,0
keenly,1,0,0,0,0
suffice,1,0,0,0,0
reconciliation,1,0,0,0,0
effortless,1,0,0,0,0
flourish,1,0,0,0,0
thinner,1,0,0,0,0
brilliance,1,0,0,0,0
straighten,1,0,0,0,0
preferably,1,0,0,0,0
frugal,1,0,0,0,0
celebration,1,0,0,0,0
exceptionally,1,0,0,0,0
prudent,1,0,0,0,0
fervent,1,0,0,0,0
compact,1,0,0,0,0
trendy,1,0,0,0,0
versatile,1,0,0,0,0
bliss,1,0,0,0,0
glee,1,0,0,0,0
invincibility,1,0,0,0,0
promoter,1,0,0,0,0
energize,1,0,0,0,0
pampered,1,0,0,0,0
steadfast,1,0,0,0,0
hooray,1,0,0,0,0
glorious,1,0,0,0,0
luxurious,1,0,0,0,0
justly,1,0,0,0,0
notably,1,0,0,0,0
delicate,1,0,0,0,0
persevere,1,0,0,0,0
lyrical,1,0,0,0,0
feasible,1,0,0,0,0
gallant,1,0,0,0,0
proactive,1,0,0,0,0
profoundly,1,0,0,0,0
enhance,1,0,0,0,0
luckiest,1,0,0,0,0
topnotch,1,0,0,0,0
acclaimed,1,0,0,0,0
outsmart,1,0,0,0,0
benevolence,1,0,0,0,0
conveniently,1,0,0,0,0
wowing,1,0,0,0,0
matchless,1,0,0,0,0
