Palabra-,Donald Trump,James David Vance,Joe Biden,Kamala Harris,Tim Walz,,,Donald Trump,James David Vance,Joe Biden,Kamala Harris,Tim Walz
dick,2,0,0,6,0,,,,,,,
extermination,2,0,0,0,0,,,,,,,
unbearable,2,1,0,1,0,,,,,,,
overrated,2,0,0,2,0,,,,,,,
object,2,0,0,0,0,,,,,,,
cruelty,2,1,0,0,0,,,,,,,
mysterious,2,0,0,0,0,,,,,,,
pout,2,0,0,0,0,,,,,,,
autocratic,2,0,0,0,0,,,,,,,
smelled,2,0,0,0,0,,,,,,,
implication,2,1,0,0,1,,,,,,,
odor,2,0,0,0,0,,,,,,,
evade,2,0,0,0,0,,,,,,,
lacking,2,0,0,2,1,,,,,,,
torture,2,2,0,2,1,,,,,,,
unpleasant,2,0,0,0,0,,,,,,,
interrupt,2,8,0,1,0,,,,,,,
