Palabra,Donald Trump.csv,,James David Vance.csv,,Joe Biden.csv,,Kamala Harris.csv,,Tim Walz.csv,Sentimiento
show,151,,45,,196,,115,,60,Neutral
still,145,,40,,238,,132,,62,Neutral
ever,145,,51,,221,,116,,82,Neutral
anything,142,,31,,134,,98,,58,Neutral
keep,141,,38,,195,,133,,45,Neutral
much,140,,46,,249,,198,,79,Neutral
got,137,,33,,264,,214,,76,Neutral
news,134,,53,,139,,30,,36,Neutral
criminal,134,,14,,109,,52,,17,Negativa
person,130,,50,,148,,152,,61,Neutral
old,130,,22,,440,,100,,56,Neutral
every,128,,34,,156,,122,,51,Neutral
war,128,,48,,286,,151,,47,Neutral
jail,124,,7,,34,,30,,17,Neutral
judge,123,,3,,12,,11,,2,Neutral
medium,122,,49,,120,,76,,41,Neutral
come,122,,37,,203,,185,,79,Neutral
real,121,,42,,187,,201,,60,Neutral
well,121,,64,,218,,183,,74,Positiva
care,120,,39,,174,,181,,65,Neutral
believe,120,,37,,140,,177,,64,Neutral
state,120,,67,,259,,156,,113,Neutral
many,117,,47,,204,,173,,64,Neutral
shot,117,,6,,23,,11,,5,Neutral
first,116,,48,,170,,134,,71,Neutral
dog,116,,7,,13,,9,,6,Neutral
stop,114,,28,,201,,107,,52,Neutral
anyone,111,,35,,153,,95,,56,Neutral
republican,111,,64,,149,,79,,70,Neutral
give,111,,31,,144,,125,,67,Neutral
law,110,,40,,117,,99,,36,Neutral
someone,108,,50,,144,,127,,80,Neutral
also,108,,60,,164,,136,,70,Neutral
video,108,,21,,157,,134,,33,Neutral
harris,105,,69,,226,,910,,304,Neutral
always,102,,33,,151,,139,,58,Neutral
everyone,100,,24,,124,,114,,51,Neutral
better,100,,47,,236,,163,,61,Positiva
best,99,,42,,215,,128,,67,Positiva
please,99,,31,,171,,144,,73,Neutral
another,98,,40,,126,,136,,36,Neutral
usa,97,,32,,171,,109,,42,Neutral
something,97,,25,,134,,89,,37,Neutral
fact,96,,52,,106,,74,,61,Neutral
crime,96,,9,,94,,49,,26,Negativa
service,96,,18,,48,,10,,27,Neutral
kamala,95,,71,,165,,1076,,273,Neutral
trying,95,,36,,94,,67,,43,Neutral
talk,95,,33,,155,,122,,71,Neutral
secret,95,,13,,18,,21,,4,Neutral
mean,94,,30,,102,,91,,52,Neutral
tell,94,,31,,139,,132,,62,Neutral
truth,94,,25,,86,,65,,47,Neutral
talking,94,,25,,96,,108,,60,Neutral
done,94,,22,,269,,133,,53,Neutral
youre,91,,32,,181,,122,,38,Neutral
actually,90,,39,,150,,65,,46,Neutral
job,89,,54,,234,,125,,47,Neutral
away,89,,27,,107,,58,,30,Neutral
work,89,,49,,143,,149,,60,Positiva
saying,89,,32,,116,,98,,49,Neutral
power,89,,38,,103,,64,,18,Neutral
word,89,,40,,118,,143,,55,Neutral
case,89,,5,,41,,20,,21,Neutral
must,88,,24,,110,,89,,39,Neutral
party,88,,55,,191,,171,,89,Neutral
garbage,87,,19,,12,,48,,85,Negativa
isnt,86,,33,,118,,81,,38,Neutral
everything,86,,24,,155,,103,,44,Neutral
new,85,,31,,133,,83,,41,Neutral
black,84,,25,,65,,396,,67,Neutral
lawyer,84,,4,,1,,3,,2,Neutral
kid,84,,21,,59,,40,,49,Neutral
yet,84,,16,,71,,50,,27,Neutral
wrong,83,,36,,85,,65,,33,Negativa
white,82,,42,,117,,118,,89,Neutral
thank,82,,27,,304,,275,,66,Positiva
whole,81,,15,,85,,61,,33,Neutral
sure,81,,27,,93,,68,,53,Neutral
leader,81,,18,,133,,64,,42,Neutral
bad,81,,34,,150,,90,,53,Negativa
hope,80,,39,,114,,95,,62,Neutral
voting,80,,46,,199,,226,,60,Neutral
lol,80,,36,,165,,173,,45,Neutral
office,80,,19,,144,,96,,47,Neutral
support,80,,39,,178,,140,,59,Positiva
already,80,,25,,87,,80,,40,Neutral
trial,80,,2,,20,,1,,3,Neutral
around,79,,17,,98,,55,,42,Neutral
made,79,,27,,150,,111,,66,Neutral
help,79,,33,,105,,90,,51,Neutral
theyre,78,,25,,82,,63,,30,Neutral
pay,77,,22,,70,,86,,26,Neutral
shooter,77,,2,,2,,0,,4,Neutral
getting,76,,17,,75,,77,,28,Neutral
child,76,,36,,91,,115,,75,Neutral
speech,76,,30,,131,,199,,66,Neutral
na,76,,28,,115,,72,,27,Neutral
bless,76,,36,,37,,35,,16,Positiva
run,76,,22,,146,,72,,40,Neutral
mr,75,,22,,207,,107,,30,Neutral
government,75,,19,,124,,75,,46,Neutral
without,75,,23,,109,,79,,38,Neutral
maga,74,,34,,31,,45,,26,Neutral
gun,74,,8,,11,,26,,23,Neutral
yes,74,,34,,113,,93,,37,Neutral
big,74,,24,,108,,74,,45,Neutral
lot,74,,30,,103,,92,,46,Neutral
stupid,73,,28,,75,,79,,40,Negativa
prison,73,,3,,34,,32,,11,Negativa
wont,73,,26,,91,,59,,28,Neutral
question,73,,49,,104,,57,,49,Neutral
roof,73,,1,,4,,3,,0,0
fake,72,,29,,86,,106,,42,Negativa
left,72,,41,,98,,66,,53,Neutral
maybe,71,,27,,75,,36,,24,Neutral
end,71,,13,,115,,56,,19,Neutral
hell,71,,15,,66,,59,,24,Negativa
face,71,,29,,113,,55,,31,Neutral
try,70,,22,,72,,52,,32,Neutral
joke,70,,28,,187,,94,,71,Negativa
supporter,70,,12,,37,,43,,28,Positiva
funny,69,,14,,99,,65,,35,Negativa
problem,69,,18,,87,,42,,38,Negativa
change,68,,37,,134,,94,,23,Neutral
call,68,,38,,68,,82,,64,Neutral
last,67,,22,,149,,132,,43,Neutral
far,66,,33,,74,,40,,21,Neutral
true,66,,35,,97,,75,,38,Neutral
wasnt,66,,22,,67,,45,,19,Neutral
seen,66,,13,,82,,69,,24,Neutral
head,65,,14,,56,,38,,20,Neutral
obama,65,,15,,199,,205,,40,Neutral
probably,65,,14,,71,,23,,21,Neutral
house,64,,27,,151,,79,,58,Neutral
long,64,,15,,109,,42,,19,Neutral
campaign,64,,16,,79,,83,,44,Neutral
name,64,,49,,89,,66,,40,Neutral
gon,64,,21,,89,,59,,22,Neutral
poll,64,,2,,51,,10,,9,Neutral
stand,63,,34,,76,,61,,26,Neutral
corrupt,63,,11,,87,,25,,8,Negativa
else,63,,19,,70,,56,,29,Neutral
democracy,63,,23,,206,,103,,40,Neutral
supreme,62,,4,,18,,19,,4,Positiva
hand,62,,18,,75,,47,,25,Neutral
hate,62,,44,,81,,113,,49,Negativa
remember,62,,21,,112,,72,,23,Neutral
order,62,,10,,52,,21,,13,Neutral
eric,62,,4,,5,,0,,3,Neutral
since,61,,14,,118,,67,,38,Neutral
thought,61,,17,,99,,86,,26,Neutral
human,61,,17,,98,,47,,36,Neutral
system,61,,11,,44,,17,,15,Neutral
least,61,,14,,87,,38,,17,Neutral
crook,61,,0,,16,,2,,1,Negativa
making,60,,19,,87,,55,,34,Neutral
comment,60,,23,,137,,84,,50,Neutral
enough,60,,24,,98,,75,,23,Positiva
place,60,,11,,56,,52,,28,Neutral
next,60,,26,,98,,85,,44,Neutral
full,60,,21,,78,,64,,30,Neutral
blue,60,,24,,189,,146,,90,Neutral
legal,60,,13,,23,,10,,8,Neutral
history,59,,22,,151,,69,,22,Neutral
little,59,,18,,66,,48,,34,Neutral
happened,59,,11,,64,,29,,9,Neutral
ear,59,,10,,42,,9,,2,Neutral
justice,59,,9,,24,,18,,12,Neutral
b,58,,14,,68,,423,,26,Neutral
live,58,,26,,96,,86,,35,Neutral
mind,58,,23,,65,,79,,23,Neutral
may,58,,26,,81,,66,,33,Neutral
used,57,,21,,66,,58,,33,Neutral
shes,57,,28,,42,,345,,38,Neutral
lying,57,,22,,83,,50,,39,Negativa
use,57,,21,,69,,45,,28,Neutral
rally,57,,9,,18,,91,,36,Neutral
fight,57,,12,,52,,44,,22,Neutral
police,57,,7,,56,,30,,14,Neutral
sound,56,,21,,61,,61,,34,Neutral
oh,55,,29,,97,,81,,46,Neutral
point,55,,30,,100,,68,,23,Neutral
political,55,,23,,93,,73,,32,Neutral
million,54,,20,,119,,130,,51,Neutral
poor,54,,20,,56,,44,,24,Negativa
two,54,,38,,114,,71,,47,Neutral
watch,54,,29,,101,,86,,46,Neutral
peace,54,,11,,57,,35,,14,Positiva
cnn,54,,44,,35,,7,,10,Neutral
wonder,54,,12,,73,,55,,18,Positiva
candidate,53,,35,,130,,114,,30,Neutral
happen,53,,7,,47,,20,,14,Neutral
border,53,,20,,181,,112,,56,Neutral
idiot,53,,20,,77,,59,,38,Negativa
save,53,,14,,62,,78,,24,Neutral
feel,52,,24,,83,,70,,47,Neutral
whats,52,,14,,81,,52,,26,Neutral
sense,52,,23,,80,,58,,27,Neutral
wouldnt,52,,16,,49,,42,,25,Neutral
liar,52,,26,,71,,41,,46,Negativa
free,52,,25,,114,,86,,41,Positiva
tax,52,,20,,88,,82,,58,Neutral
find,52,,16,,72,,41,,28,Neutral
russia,52,,7,,67,,16,,8,Neutral
story,51,,19,,24,,30,,17,Neutral
united,51,,31,,136,,86,,29,Neutral
high,51,,21,,65,,116,,24,Neutral
lost,51,,22,,72,,101,,14,Negativa
hard,50,,30,,83,,59,,23,Negativa
security,50,,14,,30,,31,,24,Neutral
wait,50,,22,,63,,57,,29,Neutral
evil,50,,17,,60,,46,,16,Negativa
sorry,50,,9,,52,,40,,18,Negativa
parent,50,,7,,18,,25,,28,Neutral
called,50,,34,,100,,48,,43,Neutral
reason,49,,21,,99,,53,,25,Neutral
crazy,49,,14,,58,,49,,14,Negativa
charge,49,,9,,45,,16,,13,Neutral
close,49,,9,,37,,25,,13,Neutral
behind,49,,10,,93,,44,,13,Neutral
open,49,,11,,57,,61,,35,Neutral
clown,49,,17,,81,,75,,37,Neutral
taking,49,,13,,50,,42,,16,Neutral
side,49,,21,,73,,97,,26,Neutral
men,48,,38,,35,,136,,38,Neutral
voter,48,,12,,87,,65,,29,Neutral
racist,48,,16,,35,,40,,32,Negativa
putin,48,,13,,70,,20,,7,Neutral
course,48,,14,,54,,26,,14,Neutral
paid,48,,12,,40,,118,,23,Neutral
part,48,,11,,70,,58,,35,Neutral
jesus,48,,19,,34,,44,,8,Neutral
rest,48,,4,,59,,25,,10,Neutral
father,48,,25,,49,,108,,36,Neutral
coming,48,,11,,80,,60,,24,Neutral
nation,47,,28,,97,,63,,30,Neutral
sad,47,,14,,83,,89,,22,Negativa
ive,47,,18,,71,,62,,29,Neutral
others,47,,18,,52,,41,,22,Neutral
matter,47,,17,,91,,70,,29,Neutral
constitution,47,,13,,32,,31,,11,Neutral
shit,46,,11,,34,,65,,7,Negativa
running,46,,36,,139,,51,,55,Neutral
stay,46,,10,,59,,46,,17,Neutral
attempt,46,,19,,17,,7,,11,Neutral
building,46,,7,,15,,6,,11,Neutral
lock,46,,3,,12,,7,,3,Neutral
sick,45,,6,,52,,28,,13,Negativa
different,45,,12,,81,,41,,17,Neutral
allowed,45,,10,,41,,26,,17,Neutral
mouth,45,,11,,42,,42,,23,Neutral
team,44,,19,,48,,29,,30,Neutral
knew,44,,10,,40,,23,,11,Neutral
seems,44,,20,,40,,31,,34,Neutral
citizen,44,,13,,84,,56,,33,Neutral
turn,43,,7,,45,,45,,24,Neutral
presidency,43,,10,,57,,28,,8,Neutral
orange,43,,9,,51,,21,,7,Neutral
kind,43,,9,,63,,48,,34,Neutral
understand,43,,14,,67,,50,,30,Neutral
economy,43,,17,,140,,72,,35,Neutral
amen,43,,8,,9,,16,,2,Neutral
nobody,43,,12,,49,,38,,8,Neutral
wife,43,,49,,51,,27,,39,Neutral
watching,43,,11,,49,,65,,20,Neutral
today,43,,12,,57,,38,,20,Neutral
yeah,43,,8,,55,,49,,18,Neutral
beautiful,43,,10,,17,,80,,22,Positiva
dude,42,,19,,65,,11,,27,Neutral
might,42,,15,,41,,29,,21,Neutral
bidens,42,,8,,172,,10,,7,Neutral
fire,42,,4,,29,,9,,15,Neutral
absolutely,42,,19,,52,,51,,23,Neutral
control,42,,12,,58,,52,,32,Neutral
second,42,,15,,68,,27,,16,Neutral
rifle,42,,0,,0,,0,,1,Neutral
exactly,42,,14,,35,,23,,9,Neutral
john,42,,17,,15,,7,,9,Neutral
policy,42,,25,,84,,85,,72,Neutral
went,41,,12,,48,,32,,28,Neutral
entire,41,,12,,57,,29,,27,Neutral
protect,41,,15,,36,,40,,10,Positiva
heard,41,,21,,35,,52,,22,Neutral
wow,41,,23,,80,,108,,32,Positiva
immunity,41,,0,,11,,0,,4,Neutral
sniper,41,,0,,2,,1,,0,0
loser,40,,8,,35,,27,,15,Negativa
disgusting,40,,15,,37,,29,,23,Negativa
diaper,40,,2,,33,,5,,1,Neutral
baby,40,,15,,34,,60,,19,Neutral
conspiracy,40,,2,,16,,2,,10,Negativa
id,40,,12,,49,,24,,22,Neutral
sleepy,40,,0,,56,,4,,2,Neutral
vance,39,,492,,12,,33,,147,Neutral
traitor,39,,4,,46,,12,,6,Negativa
boy,39,,15,,25,,19,,66,Neutral
hear,39,,12,,56,,64,,23,Neutral
start,39,,9,,76,,32,,21,Neutral
business,39,,14,,41,,30,,47,Neutral
tried,39,,13,,28,,20,,7,Neutral
hair,39,,10,,49,,11,,7,Neutral
guilty,39,,1,,11,,3,,6,Negativa
told,38,,20,,60,,52,,28,Neutral
price,38,,11,,79,,78,,29,Neutral
yall,38,,8,,49,,110,,16,Neutral
guess,38,,19,,44,,36,,22,Neutral
listen,38,,15,,45,,113,,16,Neutral
looking,38,,13,,69,,32,,17,Neutral
rule,38,,8,,52,,51,,17,Neutral
action,38,,12,,42,,24,,11,Neutral
using,38,,12,,42,,40,,21,Neutral
took,38,,15,,76,,24,,14,Neutral
bring,37,,11,,53,,63,,25,Neutral
home,37,,14,,122,,64,,37,Neutral
dumb,37,,12,,34,,70,,11,Negativa
worst,37,,14,,144,,48,,26,Negativa
instead,37,,17,,63,,43,,20,Neutral
school,37,,20,,33,,39,,58,Neutral
drug,37,,5,,44,,40,,13,Neutral
presidential,37,,22,,50,,45,,14,Neutral
read,37,,17,,61,,82,,25,Neutral
giving,37,,6,,35,,33,,22,Neutral
lord,37,,12,,32,,40,,12,Neutral
hearing,37,,5,,16,,18,,10,Neutral
wanted,36,,14,,44,,33,,19,Neutral
dead,36,,7,,53,,20,,11,Negativa
fox,36,,5,,14,,3,,26,Neutral
former,36,,12,,27,,37,,4,Neutral
calling,36,,11,,51,,22,,50,Neutral
together,36,,12,,69,,69,,27,Neutral
agree,36,,20,,45,,41,,10,Neutral
th,36,,11,,60,,51,,27,Neutral
check,36,,16,,39,,45,,16,Neutral
fool,35,,15,,57,,45,,12,Negativa
ago,35,,15,,104,,59,,20,Neutral
illegal,35,,14,,85,,67,,26,Negativa
lose,35,,11,,49,,32,,9,Negativa
plan,35,,10,,55,,39,,50,Neutral
strong,35,,14,,51,,25,,10,Positiva
assassination,35,,9,,16,,5,,3,Neutral
fear,35,,7,,27,,25,,10,Negativa
dollar,35,,7,,55,,43,,22,Neutral
heart,35,,6,,28,,64,,14,Neutral
fall,34,,9,,55,,31,,7,Negativa
act,34,,20,,59,,36,,24,Neutral
middle,34,,13,,58,,67,,26,Neutral
ok,34,,9,,47,,34,,17,Neutral
hold,34,,8,,29,,17,,13,Neutral
respect,34,,12,,71,,96,,30,Positiva
issue,34,,20,,89,,40,,48,Negativa
amazing,34,,18,,59,,53,,18,Positiva
become,34,,24,,60,,60,,17,Neutral
claim,34,,8,,20,,13,,20,Neutral
wish,34,,16,,58,,44,,20,Neutral
worse,34,,8,,87,,31,,21,Negativa
week,34,,5,,70,,29,,16,Neutral
literally,34,,19,,86,,62,,26,Neutral
number,34,,5,,50,,13,,14,Neutral
either,34,,15,,69,,45,,11,Neutral
book,34,,15,,18,,17,,9,Neutral
record,34,,12,,56,,21,,24,Neutral
elected,33,,6,,62,,33,,13,Neutral
speak,33,,13,,57,,116,,25,Neutral
young,33,,20,,92,,41,,22,Neutral
fraud,33,,7,,42,,18,,13,Negativa
dad,33,,6,,19,,18,,41,Neutral
eye,33,,13,,69,,28,,26,Neutral
death,33,,4,,41,,19,,13,Negativa
chance,33,,14,,43,,18,,13,Neutral
wake,33,,9,,39,,51,,12,Neutral
le,33,,13,,43,,31,,9,Neutral
dictator,33,,12,,76,,31,,8,Negativa
ask,33,,18,,58,,37,,26,Neutral
fired,33,,9,,18,,15,,7,Neutral
break,33,,5,,39,,16,,14,Negativa
friend,33,,35,,51,,59,,31,Neutral
threat,32,,5,,33,,9,,6,Negativa
living,32,,8,,62,,64,,15,Neutral
hitler,32,,37,,12,,11,,6,Neutral
politician,32,,30,,93,,43,,28,Neutral
trust,32,,19,,37,,53,,18,Positiva
convicted,32,,9,,18,,17,,3,Neutral
though,32,,14,,38,,38,,17,Neutral
answer,32,,30,,64,,35,,33,Neutral
room,32,,6,,17,,14,,11,Neutral
politics,31,,23,,88,,84,,35,Neutral
cry,31,,11,,52,,19,,15,Negativa
public,31,,13,,62,,42,,38,Neutral
term,31,,12,,85,,26,,18,Neutral
race,31,,20,,61,,82,,20,Neutral
saw,31,,8,,46,,29,,25,Neutral
line,31,,9,,45,,33,,25,Neutral
bit,31,,11,,38,,15,,12,Neutral
obvious,31,,7,,39,,13,,14,Neutral
red,31,,11,,27,,34,,16,Neutral
hour,31,,8,,21,,18,,8,Neutral
picture,31,,3,,30,,10,,3,Neutral
evidence,31,,2,,14,,10,,7,Neutral
held,31,,2,,20,,10,,1,Neutral
couldnt,31,,8,,51,,35,,27,Neutral
desantis,31,,4,,10,,0,,1,Neutral
msnbc,31,,18,,16,,4,,9,Neutral
imagine,30,,12,,55,,36,,21,Neutral
shut,30,,6,,15,,26,,4,Neutral
idea,30,,12,,62,,40,,12,Neutral
walk,30,,6,,46,,25,,9,Neutral
came,30,,13,,42,,46,,16,Neutral
able,30,,10,,63,,30,,14,Neutral
freedom,30,,16,,44,,76,,40,Positiva
liberal,30,,19,,30,,27,,25,Neutral
donnie,30,,2,,6,,1,,3,Neutral
common,30,,8,,29,,30,,7,Neutral
report,30,,3,,23,,29,,4,Neutral
j,30,,17,,10,,23,,7,Neutral
scotus,30,,0,,4,,1,,4,Neutral
gas,29,,3,,57,,33,,19,Neutral
thanks,29,,9,,135,,84,,26,Neutral
etc,29,,7,,41,,35,,16,Neutral
cover,29,,3,,14,,9,,9,Neutral
future,29,,26,,67,,69,,28,Neutral
supposed,29,,4,,21,,19,,5,Neutral
uk,29,,3,,43,,6,,3,Neutral
lady,29,,22,,20,,68,,15,Neutral
ukraine,29,,14,,105,,23,,4,Neutral
event,29,,3,,17,,5,,7,Neutral
false,29,,7,,18,,14,,11,Negativa
leave,29,,2,,46,,24,,16,Neutral
minute,29,,15,,41,,40,,7,Neutral
debate,29,,45,,69,,26,,38,Neutral
voted,29,,17,,77,,140,,45,Neutral
multiple,29,,3,,29,,8,,7,Neutral
vp,29,,106,,56,,87,,75,Neutral
jury,29,,0,,3,,0,,1,Neutral
national,28,,6,,55,,22,,24,Neutral
opinion,28,,21,,30,,56,,11,Neutral
play,28,,13,,35,,21,,13,Neutral
class,28,,20,,50,,84,,32,Neutral
send,28,,5,,35,,19,,10,Neutral
ill,28,,12,,71,,32,,20,Neutral
lack,28,,9,,19,,12,,16,Negativa
actual,28,,11,,29,,22,,9,Neutral
shooting,28,,2,,1,,3,,0,0
found,28,,9,,30,,9,,8,Neutral
damn,28,,5,,31,,51,,13,Negativa
forget,28,,7,,52,,30,,11,Neutral
telling,28,,17,,36,,41,,15,Neutral
working,28,,23,,66,,64,,30,Neutral
bill,28,,19,,83,,30,,33,Neutral
move,28,,8,,45,,25,,20,Neutral
falling,28,,2,,30,,9,,2,Negativa
inside,28,,5,,21,,7,,7,Neutral
awake,28,,1,,8,,3,,2,Neutral
courtroom,28,,0,,4,,1,,0,0
gag,28,,0,,1,,1,,0,0
ridiculous,27,,7,,22,,26,,11,Negativa
biggest,27,,9,,45,,12,,13,Neutral
half,27,,2,,49,,51,,27,Neutral
changed,27,,24,,29,,22,,8,Neutral
pathetic,27,,6,,48,,47,,14,Negativa
shame,27,,12,,48,,40,,11,Negativa
important,27,,9,,37,,48,,17,Positiva
deal,27,,6,,56,,25,,18,Neutral
showing,27,,5,,36,,11,,7,Neutral
allow,27,,5,,22,,16,,8,Neutral
attention,27,,4,,29,,23,,5,Neutral
crowd,27,,7,,17,,31,,19,Neutral
hit,27,,8,,19,,14,,11,Neutral
smart,27,,20,,22,,35,,21,Positiva
walking,27,,0,,14,,4,,5,Neutral
fry,27,,1,,1,,1,,3,Neutral
set,27,,7,,26,,17,,15,Neutral
water,27,,3,,9,,12,,4,Neutral
happy,26,,6,,36,,35,,83,Positiva
choice,26,,37,,73,,56,,23,Neutral
result,26,,6,,19,,5,,13,Neutral
accountable,26,,0,,16,,3,,2,Neutral
body,26,,2,,24,,45,,13,Neutral
past,26,,13,,53,,43,,18,Neutral
thinking,26,,15,,33,,46,,13,Neutral
kill,26,,1,,18,,11,,4,Negativa
given,26,,6,,41,,19,,12,Neutral
truck,26,,2,,12,,4,,20,Neutral
seeing,26,,9,,24,,25,,10,Neutral
shoot,26,,3,,4,,8,,3,Neutral
clear,26,,5,,44,,37,,17,Positiva
completely,26,,13,,44,,30,,6,Neutral
photo,26,,2,,14,,7,,5,Neutral
sleeping,26,,1,,12,,6,,1,Neutral
graduation,26,,0,,1,,1,,0,0
bullet,26,,2,,5,,1,,1,Neutral
front,25,,5,,31,,26,,10,Neutral
buy,25,,4,,23,,20,,18,Neutral
cost,25,,10,,46,,44,,11,Neutral
bet,25,,5,,25,,12,,11,Neutral
sleep,25,,4,,13,,5,,9,Neutral
brain,25,,11,,65,,46,,10,Neutral
winning,25,,4,,14,,19,,12,Positiva
promise,25,,7,,16,,30,,14,Positiva
member,25,,5,,21,,19,,10,Neutral
cult,25,,5,,15,,17,,4,Neutral
cause,25,,8,,57,,27,,13,Neutral
cheat,25,,2,,20,,10,,2,Negativa
reporting,25,,3,,10,,23,,6,Neutral
administration,25,,19,,83,,51,,35,Neutral
crap,25,,9,,27,,20,,10,Negativa
food,25,,2,,42,,50,,24,Neutral
died,25,,3,,38,,19,,4,Negativa
along,25,,9,,30,,18,,15,Neutral
havent,25,,3,,28,,22,,12,Neutral
definitely,25,,10,,48,,33,,24,Neutral
shouldnt,25,,4,,24,,24,,10,Neutral
taken,25,,4,,27,,13,,8,Neutral
finally,25,,6,,58,,16,,16,Neutral
agent,25,,3,,4,,8,,5,Neutral
top,24,,11,,38,,43,,18,Positiva
rather,24,,10,,42,,25,,6,Neutral
upon,24,,9,,15,,3,,4,Neutral
rock,24,,6,,11,,21,,9,Neutral
rich,24,,10,,39,,86,,32,Positiva
adult,24,,1,,12,,7,,4,Neutral
pretty,24,,11,,53,,29,,20,Positiva
stuff,24,,7,,29,,25,,12,Neutral
hasnt,24,,4,,31,,34,,11,Neutral
moment,24,,5,,39,,43,,23,Neutral
dangerous,24,,8,,30,,15,,17,Negativa
felon,24,,17,,14,,25,,10,Negativa
reality,24,,10,,34,,35,,9,Neutral
truly,24,,11,,35,,31,,17,Neutral
king,24,,11,,24,,13,,5,Neutral
small,24,,6,,18,,19,,14,Neutral
november,24,,7,,73,,23,,18,Neutral
asleep,24,,0,,5,,5,,0,0
gop,24,,16,,23,,11,,11,Neutral
cohen,24,,1,,1,,0,,0,0
dems,23,,24,,70,,42,,32,Neutral
ta,23,,3,,28,,15,,8,Neutral
immigrant,23,,29,,43,,60,,20,Neutral
hey,23,,11,,26,,26,,16,Neutral
totally,23,,5,,29,,24,,15,Neutral
seem,23,,11,,30,,20,,6,Neutral
clearly,23,,18,,43,,32,,21,Positiva
staged,23,,1,,6,,4,,4,Neutral
information,23,,8,,21,,13,,6,Neutral
israel,23,,10,,190,,21,,10,Neutral
insane,23,,6,,19,,16,,9,Negativa
happens,23,,3,,32,,13,,2,Neutral
nice,23,,11,,57,,65,,16,Positiva
follow,23,,16,,28,,25,,4,Neutral
simply,23,,7,,17,,16,,8,Neutral
covid,23,,7,,95,,20,,42,Neutral
outside,23,,1,,10,,15,,6,Neutral
arent,23,,10,,36,,40,,10,Neutral
blame,23,,8,,29,,21,,12,Negativa
failed,23,,7,,41,,23,,7,Negativa
democratic,23,,15,,80,,46,,45,Neutral
protection,23,,7,,11,,9,,4,Positiva
enemy,23,,6,,30,,19,,7,Negativa
sitting,23,,1,,20,,10,,7,Neutral
belief,23,,15,,24,,29,,12,Neutral
jimmy,23,,0,,7,,5,,0,0
press,23,,6,,40,,4,,8,Neutral
normal,23,,5,,20,,41,,28,Neutral
tied,23,,2,,43,,2,,1,Neutral
blackrock,23,,2,,1,,0,,0,0
trash,22,,16,,25,,28,,29,Negativa
night,22,,8,,27,,16,,26,Neutral
fine,22,,6,,29,,13,,7,Positiva
killed,22,,11,,37,,19,,8,Negativa
tv,22,,6,,29,,13,,9,Neutral
