Palabra,Donald Trump,James David Vance,Joe Biden,Kamala Harris,Tim Walz
demon,6,1,10,11,7
bothered,6,0,0,1,1
refused,6,5,8,2,2
stink,6,0,0,1,0
rhetoric,6,9,8,8,11
loot,6,0,6,0,1
incompetence,6,2,7,6,5
wound,6,0,2,3,1
unstable,5,1,2,0,1
hack,5,2,7,1,1
shameful,5,0,9,5,4
terrorism,5,0,3,2,4
fuck,5,1,11,18,0
trick,5,1,5,8,0
fascism,5,1,5,4,3
conflict,5,2,23,3,2
smack,5,1,1,2,1
offensive,5,0,1,4,1
crisis,5,4,45,12,9
hateful,5,3,5,9,5
biased,5,16,8,4,7
unfit,5,5,13,9,4
despicable,5,1,1,2,5
emergency,5,1,4,4,1
insurrection,5,4,14,2,2
freaking,5,6,10,10,6
disturbing,5,0,10,4,2
slave,5,1,5,19,3
lame,5,0,6,7,1
persecution,5,1,1,0,0
outrageous,5,0,7,1,2
collapse,5,0,6,5,1
disrespectful,5,4,3,1,4
severe,5,0,4,1,4
fooled,5,3,4,11,1
penalty,5,1,1,1,0
disagree,5,3,4,8,2
annoying,5,5,4,7,2
delayed,5,1,0,1,1
sadly,5,3,5,8,6
filthy,5,0,2,2,2
sham,5,0,4,1,1
twisted,5,0,3,1,1
unrest,5,0,0,0,2
extremist,5,1,11,2,0
embarrassing,5,2,22,51,5
injury,5,0,4,3,0
pig,5,0,4,1,3
dying,5,3,11,2,7
bored,5,1,1,0,0
pretend,5,1,11,13,5
bias,5,9,7,4,8
unfortunately,5,3,9,12,8
undermining,5,0,1,2,0
explosive,5,0,1,0,0
failing,4,3,9,4,4
reckless,4,0,0,1,1
gross,4,2,9,10,2
immature,4,3,1,0,1
childish,4,0,8,2,1
hypocritical,4,0,6,2,1
outrage,4,0,1,1,3
reject,4,1,1,2,2
useless,4,0,9,7,3
deluded,4,0,6,1,2
insulted,4,2,1,2,1
deny,4,0,4,3,0
ploy,4,0,2,0,0
manipulation,4,2,1,3,1
sued,4,1,0,3,1
unable,4,1,2,4,1
struggling,4,3,11,11,2
lunatic,4,3,10,5,3
denying,4,0,1,0,2
limited,4,3,2,0,0
greed,4,0,5,2,1
poison,4,0,2,4,1
bent,4,0,1,0,0
protesting,4,0,10,3,0
tragedy,4,0,7,1,0
miscalculation,4,0,0,0,0
whine,4,0,1,1,1
worried,4,2,11,6,8
falsehood,4,0,1,0,2
ranting,4,0,0,1,0
ugly,4,1,3,2,4
painful,4,0,3,8,0
suffered,4,2,1,4,2
madman,4,0,2,0,1
whiny,4,0,1,0,0
exhausted,4,0,1,1,1
violate,4,0,2,1,0
knife,4,0,0,0,0
louder,4,1,1,3,2
naive,4,0,4,5,1
spewing,4,1,3,4,2
misleading,4,1,4,3,1
unusual,4,0,0,2,0
begging,4,1,3,3,1
sore,4,0,2,0,0
drastic,4,0,1,0,0
symptom,4,1,3,0,0
harm,4,1,7,5,3
smear,4,2,4,2,1
burn,4,1,10,6,21
remorse,4,0,0,1,0
lazy,4,1,0,5,2
punch,4,0,0,1,0
negligence,4,1,1,0,0
darkness,4,1,6,2,2
odd,4,0,9,4,3
stupidest,4,0,3,0,10
opposition,4,3,11,4,4
rotten,4,0,3,1,0
offence,4,0,2,0,0
rival,4,0,6,2,2
cringe,4,4,18,28,10
liable,4,0,3,0,1
bait,4,2,2,1,0
assassinate,4,2,2,1,0
split,4,0,0,3,0
fatal,4,0,1,2,1
decline,3,0,29,3,1
jealous,3,4,0,6,6
slime,3,2,2,0,1
desperately,3,1,1,2,7
selfish,3,0,5,5,1
condemn,3,1,5,0,1
addicted,3,1,3,0,1
joker,3,2,5,2,2
denial,3,0,3,2,1
radical,3,5,15,7,8
nervous,3,1,2,29,2
aggressive,3,2,3,1,0
jerk,3,0,6,3,3
disgusted,3,0,4,2,2
appalling,3,0,3,1,0
downhill,3,0,3,0,0
deplorable,3,2,2,3,4
horrendous,3,4,5,0,3
irrelevant,3,2,5,4,2
complex,3,7,15,4,3
chill,3,0,2,3,1
frightening,3,3,3,2,0
tantrum,3,0,0,0,0
dragged,3,1,4,4,2
scare,3,3,7,1,1
loathe,3,0,0,0,0
deadly,3,1,2,0,0
rude,3,7,5,3,0
illusion,3,0,2,0,0
disrespect,3,2,5,3,5
redundant,3,0,1,0,1
strike,3,3,10,3,1
vanity,3,1,0,0,1
smelling,3,0,2,1,0
clueless,3,3,8,7,3
parody,3,0,12,3,1
crushing,3,0,0,2,0
bland,3,0,0,0,0
denied,3,1,2,4,2
fails,3,0,3,2,1
downer,3,0,0,1,0
slowly,3,0,2,5,0
lousy,3,0,1,1,0
tanked,3,0,0,2,1
stranger,3,0,1,2,1
upset,3,4,5,5,2
rage,3,0,3,0,1
declining,3,0,2,1,0
inability,3,0,1,1,3
bore,3,0,3,0,0
discouraging,3,0,0,0,0
weakness,3,0,6,2,3
butcher,3,2,5,0,0
bullying,3,1,3,3,3
sloppy,3,0,1,0,0
freak,3,4,3,5,8
burned,3,1,5,2,5
unpopular,3,0,3,1,0
fiasco,3,0,0,0,1
unethical,3,2,4,0,0
mystery,3,0,1,2,0
bloated,3,0,2,0,0
drunk,3,1,5,10,5
pity,3,0,5,1,0
defamation,3,0,1,0,0
wasting,3,0,4,3,1
totalitarian,3,0,2,0,0
ripped,3,0,0,3,0
hurting,3,0,4,4,1
idiotic,3,0,2,5,3
zombie,3,1,3,4,0
conflicted,3,0,1,0,0
incite,3,3,1,1,0
boycott,3,0,3,3,3
rumor,3,1,1,2,2
deception,3,1,6,2,0
ruining,3,2,9,3,1
dope,3,0,4,2,4
tank,3,3,5,0,1
rant,3,0,6,3,1
insulting,3,2,6,8,7
sickening,3,1,7,5,5
tragic,3,0,3,0,1
gutless,3,0,0,0,1
ignorance,3,3,3,4,5
bash,3,0,1,2,2
vomit,3,1,0,1,0
ridiculously,3,0,1,0,2
condemned,3,0,2,1,0
farce,3,0,2,0,1
bastard,3,2,3,2,1
forbid,3,2,2,0,4
bizarre,3,3,2,1,3
thug,3,0,3,2,1
bashing,3,2,7,4,1
phony,3,3,3,11,11
beg,3,1,1,0,2
limitation,3,1,0,0,2
complains,3,1,0,2,0
allegation,3,0,1,0,4
distraction,3,1,2,3,0
downfall,3,0,5,0,0
brainwash,3,0,2,2,1
hating,3,5,4,7,3
resigned,3,1,4,2,0
explode,3,0,0,1,0
warning,3,1,6,9,3
scratch,3,0,2,0,0
disorder,3,1,4,1,1
ironic,3,1,2,5,3
ludicrous,2,0,0,0,0
tout,2,0,3,0,0
innuendo,2,0,0,0,1
irony,2,2,5,1,2
ache,2,0,0,0,0
humiliating,2,0,1,2,0
warned,2,2,6,2,1
hostility,2,0,0,0,0
confuse,2,0,3,0,0
beware,2,1,4,4,0
frozen,2,0,3,3,0
critic,2,1,1,1,0
dick,2,0,0,6,0
criticized,2,2,1,1,3
abusive,2,3,1,1,1
crushed,2,0,2,4,0
extermination,2,0,0,0,0
breach,2,0,1,0,1
unbearable,2,1,0,1,0
manipulate,2,3,1,7,1
overrated,2,0,0,2,0
object,2,0,0,0,0
cruelty,2,1,0,0,0
slur,2,0,5,3,6
mysterious,2,0,0,0,0
mock,2,0,7,4,2
pout,2,0,0,0,0
abyss,2,1,1,0,0
gullible,2,2,6,7,0
autocratic,2,0,0,0,0
burning,2,2,6,3,6
challenging,2,0,5,0,1
unexpected,2,0,1,0,1
comical,2,0,1,2,1
smelled,2,0,0,0,0
sack,2,0,4,1,0
brainless,2,0,1,3,0
venom,2,0,1,0,0
unnecessary,2,0,3,1,0
implication,2,1,0,0,1
cracked,2,1,3,0,0
misguided,2,0,3,2,4
tramp,2,2,1,0,0
brat,2,1,1,4,0
slander,2,0,2,0,4
ugh,2,4,1,1,4
odor,2,0,0,0,0
chronic,2,0,1,0,0
criticize,2,0,3,1,1
evade,2,0,0,0,0
prisoner,2,0,2,1,1
temper,2,2,1,0,0
stumble,2,0,5,0,0
ridicule,2,0,1,0,1
lacking,2,0,0,2,1
spite,2,0,1,1,1
stumbled,2,0,2,2,1
torture,2,2,0,2,1
isolate,2,0,1,0,1
threatening,2,2,2,1,2
prick,2,0,2,0,0
horrid,2,0,1,0,0
raving,2,0,1,0,0
moronic,2,1,2,0,0
unpleasant,2,0,0,0,0
interrupt,2,8,0,1,0
stench,2,1,3,0,0
audacity,2,0,2,3,0
injustice,2,0,2,2,1
deceive,2,0,3,1,0
aggression,2,0,5,1,0
exhaust,2,0,0,0,0
breakdown,2,0,1,0,0
woe,2,1,1,2,1
damaged,2,0,4,1,2
misery,2,0,3,1,1
freezing,2,2,0,1,0
chilly,2,0,0,0,0
discredit,2,1,0,2,1
shocking,2,2,7,6,0
raped,2,0,9,3,1
bankrupt,2,1,4,3,2
cruel,2,2,4,1,1
malignant,2,0,2,0,1
crappy,2,0,2,0,0
arrogantly,2,0,0,0,0
disastrous,2,2,5,1,2
miserably,2,0,2,2,0
unequal,2,0,0,0,1
disappointing,2,1,4,5,1
collusion,2,0,0,1,0
blackmail,2,0,0,4,0
noise,2,1,1,4,0
bump,2,0,0,0,0
stall,2,0,2,0,0
dictatorial,2,1,1,1,0
grotesque,2,0,3,0,0
undocumented,2,0,5,0,0
doom,2,1,2,5,2
dastardly,2,0,0,0,0
unlawfully,2,0,2,0,1
leak,2,0,1,1,1
crash,2,1,9,6,3
immoral,2,2,4,1,0
destructive,2,0,3,1,3
terror,2,0,5,3,1
humiliation,2,1,2,1,0
rejection,2,0,1,0,0
meaningless,2,0,3,1,1
blah,2,6,10,3,5
vengeance,2,0,1,0,0
depression,2,1,4,0,1
exaggeration,2,0,4,0,1
complained,2,0,1,5,0
haunt,2,0,0,0,0
incessant,2,0,1,0,0
petty,2,3,2,0,3
overdue,2,1,0,1,0
complaint,2,0,2,5,0
suspicion,2,0,1,0,0
torment,2,0,1,0,0
surrender,2,1,4,2,0
irrational,2,0,0,0,0
bleed,2,0,1,1,0
smelly,2,0,0,0,0
frustrated,2,0,1,3,1
selfishness,2,0,0,2,0
plea,2,1,1,0,1
mist,2,0,0,0,0
ordeal,2,0,0,0,0
tyrannical,2,0,1,3,0
scam,2,1,4,7,0
shady,2,10,3,2,1
illegitimate,2,0,1,0,0
utterly,2,1,6,3,2
tainted,2,1,1,0,1
goofy,2,1,3,6,2
untrustworthy,2,0,1,2,1
adversary,2,1,2,1,6
delusion,2,1,5,2,2
invisible,2,0,2,0,1
bitch,2,0,1,4,0
lonely,2,0,0,1,0
mobster,2,0,0,0,0
pariah,2,0,2,0,0
scandalous,2,0,0,1,1
illiterate,2,0,0,3,0
blasphemy,2,0,1,2,0
negativity,2,0,1,2,1
cowardly,2,0,1,0,2
punk,2,0,0,2,0
shake,2,2,3,5,2
demonic,2,0,2,4,0
dunce,2,1,1,2,0
intimidate,2,0,2,0,0
partisan,2,1,4,1,5
crumbling,2,1,3,0,0
sacrificed,2,0,1,0,1
delaying,2,0,1,0,0
absurdity,2,0,1,0,1
inept,2,1,3,3,2
harassed,2,0,0,1,1
rampant,2,0,4,5,0
divisive,2,2,8,4,4
dispute,2,0,1,2,1
dirt,2,3,9,10,2
arrogant,2,2,4,3,0
shatter,2,0,1,0,1
enraged,2,0,1,0,1
degenerate,2,1,0,2,1
infuriating,2,1,1,0,1
trashed,2,0,1,2,2
slap,2,1,1,3,5
interfere,2,1,2,0,0
murderer,2,0,12,4,0
inferior,2,2,1,1,0
ripoff,2,0,0,0,0
deadbeat,2,0,0,0,1
disgust,2,1,2,1,2
shark,2,1,3,1,0
overturn,2,2,1,2,0
dubious,2,0,0,0,1
cheater,2,0,1,5,0
expensive,2,2,9,17,2
incorrect,2,0,2,1,1
tortured,2,0,6,0,0
unlawful,2,0,4,0,0
abominable,2,0,0,0,0
damned,2,0,1,2,2
abolish,2,1,2,0,0
unknown,2,0,2,1,1
panicked,2,0,2,0,0
error,2,1,3,0,0
conspirator,2,0,0,0,1
overwhelming,2,0,5,2,0
rough,2,1,1,0,1
dire,2,0,1,1,0
paranoid,2,1,1,0,0
disturbed,2,0,0,0,0
cliche,2,0,0,1,2
cancerous,1,0,0,0,0
heinous,1,0,1,1,0
degeneration,1,0,0,0,0
bitter,1,1,0,2,1
obscenity,1,0,0,0,1
militancy,1,0,0,0,0
trap,1,3,2,1,5
regretted,1,0,0,0,0
insecurity,1,0,0,2,0
frantically,1,0,0,0,0
devastation,1,0,0,0,0
offend,1,0,3,0,0
demean,1,0,0,2,0
discriminatory,1,1,0,0,0
smoke,1,0,4,2,0
atrocity,1,0,1,1,1
panic,1,1,2,2,0
topple,1,0,0,0,0
messy,1,0,0,0,3
hopeless,1,0,2,2,0
disagrees,1,2,0,0,1
pry,1,0,0,0,0
intolerance,1,1,0,1,1
peril,1,0,1,0,1
dumped,1,0,3,2,0
stutter,1,1,5,0,2
impaired,1,0,3,2,0
sneak,1,0,0,1,1
pathetically,1,0,1,0,0
atrocious,1,2,0,0,2
urgent,1,1,2,3,1
suffers,1,0,3,0,1
scarcity,1,0,0,0,0
dissonance,1,0,0,0,0
overlook,1,0,1,1,1
impoverish,1,0,0,0,0
tamper,1,0,0,0,0
gaff,1,0,0,1,0
savage,1,0,1,1,2
hoodwink,1,0,0,0,0
anxious,1,0,1,0,0
trapped,1,1,2,0,1
complication,1,0,2,0,0
predatory,1,0,0,0,0
riled,1,0,0,0,1
coercion,1,0,1,1,0
undecided,1,1,3,6,4
alarming,1,0,1,3,0
futile,1,0,0,0,0
disregard,1,1,5,0,3
dragging,1,0,4,1,0
crippled,1,0,0,2,0
slowed,1,0,2,0,0
jam,1,0,3,3,2
threaten,1,1,4,1,1
gaffe,1,0,9,1,2
devastated,1,0,0,0,2
cramp,1,0,0,0,0
awkward,1,5,1,5,3
unnatural,1,1,0,0,0
frail,1,0,3,0,0
despicably,1,0,0,0,0
disheartening,1,0,0,1,0
exploitation,1,0,0,1,1
burden,1,0,1,5,1
dissing,1,0,0,1,0
hysteria,1,0,1,0,0
cartoonish,1,0,0,0,0
condemns,1,0,0,0,0
chaotic,1,0,3,1,0
outbreak,1,0,1,0,2
faze,1,0,0,0,0
boiling,1,0,1,0,1
shameless,1,0,5,1,1
servitude,1,0,0,1,0
devoid,1,1,2,1,0
notorious,1,0,0,1,0
starve,1,0,2,1,0
oppression,1,2,3,1,0
contemptible,1,0,0,0,0
defensive,1,1,1,0,0
obnoxious,1,0,0,0,0
snobbish,1,0,0,0,0
opinionated,1,0,0,1,0
gangster,1,2,1,0,2
inadequate,1,0,0,0,0
accuse,1,2,4,1,2
monotonous,1,0,0,0,0
myth,1,0,1,0,0
overwhelmingly,1,0,0,0,1
livid,1,0,0,0,0
felonious,1,0,0,0,0
insanely,1,0,4,1,0
bothering,1,1,0,1,0
relentless,1,0,2,0,1
wildly,1,0,0,1,0
grim,1,0,0,1,0
complicit,1,0,12,1,0
scoundrel,1,0,1,0,0
devious,1,0,2,1,0
fidget,1,0,0,0,0
naughty,1,0,0,0,0
disinterested,1,0,0,0,0
accidental,1,0,0,0,0
aggressor,1,0,0,0,0
craziness,1,0,0,1,0
fictional,1,0,1,0,0
skinny,1,0,0,0,0
uglier,1,0,1,0,0
unattractive,1,1,0,0,0
betrays,1,0,0,0,0
accusing,1,0,1,1,1
convoluted,1,0,0,0,0
defect,1,0,1,0,0
faulty,1,0,0,1,0
isolation,1,0,1,0,0
carnage,1,0,1,0,0
pointless,1,1,4,1,2
chore,1,0,0,0,0
defiantly,1,0,0,1,0
outsider,1,0,2,0,1
lapse,1,0,2,1,0
confined,1,0,0,0,0
travesty,1,0,2,1,0
spoil,1,1,1,0,0
flawed,1,0,1,2,0
unwanted,1,1,3,0,2
spews,1,0,2,2,2
repulsive,1,0,1,0,2
compulsive,1,0,1,1,3
malign,1,0,0,0,0
disgraced,1,0,1,0,0
moody,1,0,0,0,0
conceded,1,1,0,0,0
apologist,1,0,0,0,0
equivocal,1,0,0,0,0
vicious,1,0,3,2,1
traitorous,1,0,2,3,0
relentlessly,1,0,0,1,1
undue,1,0,0,0,0
denies,1,0,1,0,0
crush,1,2,2,4,2
hegemonism,1,0,0,0,0
inaccurate,1,0,0,1,0
poorly,1,0,1,4,1
pitiful,1,0,4,2,1
stooge,1,0,5,8,2
crashing,1,1,1,0,0
hideous,1,0,0,0,0
inhumane,1,1,0,0,0
goof,1,0,2,0,0
scandal,1,0,4,2,1
sinking,1,0,1,1,3
lawlessness,1,0,5,2,0
humiliate,1,0,1,0,2
bumped,1,0,1,0,0
barren,1,0,0,0,0
disgracefully,1,0,1,0,0
obtuse,1,0,0,0,0
affliction,1,0,0,0,0
suicide,1,0,2,1,0
weed,1,0,0,1,0
grumpy,1,0,0,0,1
negate,1,0,0,0,0
brutalize,1,0,0,0,0
torturing,1,0,1,0,0
laughingstock,1,0,2,1,0
hysterical,1,0,2,4,2
imprisonment,1,0,1,1,0
musty,1,0,0,0,0
traumatic,1,0,1,0,0
fearful,1,0,0,1,0
strictly,1,2,0,0,0
erroneously,1,0,0,0,0
blasphemous,1,0,3,1,0
abomination,1,0,2,1,0
subvert,1,0,0,0,0
wobble,1,0,1,0,0
confusing,1,0,1,1,1
obstruction,1,0,1,1,0
intimidation,1,0,1,0,0
jeopardy,1,0,0,0,1
weaken,1,0,0,0,1
severity,1,0,0,0,0
endanger,1,0,2,0,0
disadvantage,1,0,1,0,1
inconsistent,1,0,2,0,1
squeaky,1,1,0,0,0
impotent,1,1,0,0,0
refusal,1,1,0,1,0
fever,1,0,0,0,0
hung,1,3,1,1,0
hostage,1,2,9,9,0
impeach,1,1,2,0,0
sneaky,1,0,2,1,0
inexcusable,1,0,1,0,1
insignificant,1,0,1,1,0
sweaty,1,0,0,0,0
appalled,1,0,0,0,1
unwarranted,1,0,0,0,0
stubborn,1,0,0,0,0
wrongly,1,0,2,0,0
instability,1,0,3,0,2
frighten,1,1,0,1,0
unqualified,1,1,3,4,3
frustrating,1,0,1,1,0
illogical,1,0,0,1,0
tension,1,0,0,0,1
sting,1,0,1,0,1
perversion,1,0,0,1,1
trivial,1,0,1,0,1
subjugation,1,0,0,0,0
sly,1,0,1,1,1
disillusioned,1,1,0,0,0
tricked,1,0,0,0,0
detrimental,1,0,0,1,1
grief,1,0,2,0,1
decrepit,1,0,2,0,0
predicament,1,0,0,0,0
crude,1,1,0,2,1
controversial,1,0,0,1,1
fanaticism,1,0,0,0,0
insufficiently,1,0,0,0,0
dwindling,1,0,0,0,0
blasted,1,0,1,0,0
oppose,1,1,5,3,0
dismay,1,0,1,1,0
horde,1,1,0,0,0
qualm,1,0,0,0,0
intimidating,1,0,1,0,0
warped,1,1,0,0,0
devastating,1,1,1,3,1
virus,1,0,2,6,4
downgrade,1,0,0,0,0
blabber,1,0,0,1,0
blab,1,0,0,0,0
depressing,1,0,2,1,0
messing,1,0,4,1,0
annihilation,1,0,0,0,0
disapproval,1,0,0,0,0
negligent,1,0,0,0,0
draining,1,1,1,0,0
impose,1,1,1,1,1
destroyer,1,1,1,1,0
undone,1,0,0,0,0
flagrantly,1,0,1,0,0
deterrent,1,0,1,0,0
miscreant,1,0,0,0,0
tyrant,1,0,9,6,1
disruption,1,0,2,0,0
spitefulness,1,0,0,0,0
boil,1,1,1,0,0
inconceivable,1,0,0,0,0
perverted,1,2,3,0,0
grudge,1,2,0,0,0
underdog,1,1,0,0,0
repressive,1,0,0,0,0
plot,1,4,1,2,0
startling,1,0,0,0,0
brazen,1,0,1,0,0
problematic,1,0,0,0,0
hostile,1,3,1,0,0
abnormal,1,0,1,0,3
fierce,1,3,1,2,0
drowning,1,0,1,0,0
fleeting,1,0,0,0,0
criticism,1,1,4,0,0
desperation,1,1,1,6,0
expire,1,0,0,0,0
mar,1,1,3,1,1
incoherent,1,0,3,3,1
confess,1,2,1,0,0
sin,1,1,5,2,1
punish,1,0,3,2,1
boredom,1,0,0,0,0
apocalypse,1,0,0,0,1
unlikely,1,0,0,2,0
strict,1,0,4,0,1
revoke,1,0,0,1,0
fatty,1,0,0,0,0
mockery,1,0,2,0,0
impatient,1,0,0,0,0
insecure,1,0,0,0,0
lemon,1,1,0,1,0
tyranny,1,0,5,2,0
furious,1,1,1,0,0
shunned,1,0,0,0,0
unmoved,1,0,0,1,0
displaced,1,1,3,1,2
goon,1,0,2,1,2
dripping,1,0,1,0,0
disservice,1,0,0,1,1
disgustingly,1,0,0,0,0
maniac,1,0,1,1,0
foolishly,1,0,0,1,0
leech,1,0,0,1,0
babble,1,0,1,0,0
egotistical,1,0,2,0,0
shriek,1,0,1,0,0
lurking,1,0,1,0,0
biting,1,0,2,0,0
rift,1,0,1,0,0
lawless,1,0,4,0,0
worrying,1,0,4,1,2
baffled,1,0,3,2,0
