Comentario,Autor,URL_Video,Idioma,Fecha_Publicacion_Comentario,Polaridad,Subjetividad
je suis pa pro trumpje suis pro ukraine maïs lanalyse est très bafouée ici sur ce point il bien dit problème face au fiministe extrême et au wokistela déçu il touche même femmes nouvelles générationsa réfléchir,@sirmanleesirmanlee12,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 22:37,0.0,0.0
elle na pa prononcé peine mort pour lassassin policier quand elle était procureur ville san fransisco elle ne sest jamais rendue au texas à frontière alors quelle avait été désignée tant vice présidente pour gérer question limmigration illégale je continue ou vous avez tous compris ce journaliste partis pris ou quil ne sest pa informer ce qui serait amusant pour journaliste,@arnaudstral,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 21:54,0.0,0.0
il na rien dit choquant,@dunbar555,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 21:51,0.0,0.0
kalama harris déjà perdu lélection,@nellyoctopussy,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 21:25,0.0,0.0
trump,@ComPt4,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 21:08,0.0,0.0
trumpepstein,@MeredithAstridClaire,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 21:02,0.0,0.0
ce journaliste qui accuse cour suprême de usa dêtre partisane cest juste incroyable,@innocentstate,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 20:36,0.0,0.0
droit de femmes vous laissez lr hommes violenter derriere mon do l esclavage oui barbarire de americains si jamais fini et macron aussi c est honte moyenage trump,@FatihaBiouithomi,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 20:09,0.0,0.0
bonsoir felicitation pour votre promotion oncle sam vous gâté cette année pour poursuivre l effort guerre plus propagandes plus mensonges pa vérité l histoire l humanité s souviendra j espere vous avez fait vos stock provision et medicament n oublier pa place sont compté dans bunker premier arriver aura sa place fuyez pauvre fou,@TetichMchich,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 19:42,0.0,0.0
preuve kamala est sotte il dit vouloir protéger femmes de viol perpétrés par de immigrés illégaux ça rentre pa dans cerveaux deux case de démocrates américains,@marcbjorg4823,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 19:39,0.0,0.0
je suis pa du partie trump il quune seule chose où je suis daccord aves lui sest chaque pay lotan paie sa part comme tout monde je crois sest ou pourcents,@belaidboudamdan7068,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 19:38,0.0,0.0
vouloir protéger et libérer femmes tenues esclavage ou asservies et maltraitées sans leurs demander permission cest très insultant pour femmes où quelles soient dans monde démocrates qui sont fondateurs du kluxkluxclan et qui ont déclenché guerre sécession pour maintenir lesclavage dans sud sont parti finance et tout reste est subordonné on na quà voir combien milliardaires contribuent à ce parti méthode politique ce parti tient deux mot mépris et mensonge,@francoislesperance1980,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 19:38,0.0,0.0
rapport cest vote féminin pour harris cest surtout ça qui ne sétait jamais vules sondages réalité sont beaucoup plus faveur harris bien entendu quil de femmes qui votent pour candidat républicain mais jamais aussi peu,@pierreherisson7070,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 19:22,0.0,0.0
trump femmes aiment être protègees cest oui,@MoussaFatouma-dw4uh,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 18:58,0.0,0.0
de hommes qui sexpriment tremblote,@gabrielcage699,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 18:33,0.0,0.0
et ben quoi statut de femmes afghanistan cest pa si mal,@alainmarie4236,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 18:21,0.0,0.0
je veux ecouter exactement ce trump dit anglais il n jamais dit femmes veuillent ou non il parle ceux qui lui ont conseillé ne pa dire cela,@lawrosonroland3474,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 18:01,0.0,0.0
cette manie déformer propos tout monde est insupportable,@aufildutempscouture9406,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 17:56,0.0,0.0
trump plus aimé aux usa nous allons voter massivement,@georgemogbema1179,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 17:52,0.0,0.0
sourire kamala montre cest une dangereuse femmeelle ne serum jamais élue présidente,@georgemogbema1179,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 17:51,0.0,0.0
kamala était charge du volet diplomatique limmigration mais cest fou ce haine donald peut coser comme distorsion meme de évidences même concernée na pa nier quelle avait charge négocier avec pay départ de migrant afin diminuer voire arrêter flux incessant qui mettent à mal structure daccueilet comment individu doté s sen peut être plus royaliste roi donald trump vous au juste fait quoi pour meriter cela jusquà deux tentatives dassassinat ne vous suffisent t il pa pour comprendre vous poussez bouchon très loin quenvisager vous dire et faire au ca où ce projet diabolisation ce dernier fini par conduire à lassassinat ce dernier et conduise au chaos dans ce pay jadis monter comme chantre démocratie ce qui est vécu aux usa et vous mettez à lidex est il différent ce qui passe france,@OKFORME-yn3mc,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 17:44,0.0,0.0
occident perdu cest devenu une décharge,@MURID_PAULUS,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 17:41,0.0,0.0
quel idiot s partisan encore plus ce pay est complete perdition,@danyseg2000,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 17:41,-0.35000000000000003,0.6000000000000001
écoutez cellelà répéter fait boucle,@aerocap,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 17:40,0.0,0.0
quelles taisent,@MURID_PAULUS,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 17:40,0.0,0.0
trump bizzar,@love-marleyjeanclaude3857,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 17:33,0.0,0.0
trumpette profite s derniers instant liberté rigolons ensemble de dernières parole du condamné,@Starfoula4515,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 17:33,0.0,0.6666666666666666
oh bon sang il plane comme esprit manichéisme sur ce plateau où lon diabolise candidat favori de sondages cet instant crucial lélection quitte à ressusciter de affirmation faites privé et vendue aux démocrates par traitre et sombre avocat dalors paul manafort il plaide aujourdhui contre trump dans laffaire lopposant ce dernier et lactrice porno et malgré trump sétait excusé précisant quil sagissait dune déclaration dauto valorisation nombreux hommes à femmes font dans de cercles privés léquipe clinton na pa cyniquement hésiter sauter sur loffre frauduleuse ce mécréant davocat qui espionnait client leur donnait il sest ensuite fendu dans sa défense prétendant quil présentait quil devait jour avoir à faire usage ce enregistrements pour défendre sa cause salot dans envolé diffamatoire à légard trump très fameux spécialiste de usa argue trump,@OKFORME-yn3mc,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 17:31,0.0,0.8333333333333333
trump nous mets dans décor une mise scene logique cest homme daffaire pour lui election cest comme négocier contrat ou plutôt rachat but est déstabiliser lautre négociateur et lui faire miroité univers flamboyant à fin de négociations deux mot lenculer pour décrocher meilleurs affaire possible pokedex trump pokemon type psychique statut business great master pouvoir très grand négociateur sa tactique manipulation déstabilisation illusion point dexp pour paix dans monde il de conflit à negocier et on sait trump est partisant du une guerre ça coute chère et il raison tout monde paye prix population plus reste et limmigration trop massive et ce nest pa une question racisme et cest même pour lunion européenne pay nont place capacités pour accueillir tout ce gen quand il dit il faut ça cesse il raison lamerique narrive pa à gérer american et il accueillent tout monde pareil pour leu alors il faudrait trump passe cependant harris aurait quoi passer aussi car trump est inquiétant il va sacharner sur femmes et migrant injustement et on prend ca on ne peut pa demander à une femme qui sest faite violée daccoucher violeur cest immonde et elle nest pa responsable du fait certains hommes sont de animaux barbares plus involontairement lenfant va être rejeter pa sa mère ce qui risque den faire une victime du peuple ou déstabilisé mentale rare sont ca ou ce enfants sen sortent indem et saint desprit après faut pa non plus faire de go tout mois et avorter non plus il juste milieu sur migrant stopper limmigration ça dépend comment et à quel degré on ne peut plus accepter toute planète ce soit usa leu ou laustralie bien elle soit bien plus stricte déjà états doù viennent limmigration doivent apprendre à démocratiser et arrêter faire crever leurs population sou famine et misères et là harris serait peut être mieux placer pour venir aide aux états pour autant quils acceptent laide parce trump nen aura rien à foutre cest homme daffaire et là ba il ny pa daffaire à faire point economie temp et denergie business man pure souche parce laire rien sou trump lindustrie américaine avait commencé à entamé une bonne relance au niveau croissance hors avec biden benefice servent à payés financements pour guerres de autres et européens nont pa leçons à donner à ce niveau là il font pareils il dilapident caisses pour financé limmigration massive incontrôlé et guerres quils soutiennent au lieu désamorcer conflit,@InnovationStart,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 17:28,0.22678571428571428,0.76875
méchant il dit quil va protéger femmes dire cela avec phallus est totalement misogyne lol,@jd1vr,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 17:02,0.8,0.7
je souviens vidéo aux etats unis dune femme noire dun certain âge qui déambulait dans rue criant dune voix forte je préfère protection dun mâle alpha quune mauviette sans consistance à maison blanche tout monde avait bien vite compris qui était mâle alpha question,@guillaumeawana2967,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 16:33,0.21428571428571427,0.5714285714285714
il vaut mieux être protégé par homme fort comme lui une pseudo journaliste toxique qui manipule au nom toutes femmes dailleurs aujourdhui je demande si ça existe vraiment une vraie école journaliste,@senaydebesay6267,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 16:31,0.0,0.0
medias français feront toujours tout pour banaliser et voire enjoliver horreurs verbales trumpqui vivra verra,@user-hs3gg7ze7r,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 16:30,0.0,0.0
sérieusement jespère quil va gagner et vous allez bien chialez sur plateau,@mortadel187,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 16:14,0.0,0.0
une phrase sortie contexte devient prétexte il parlé protéger femmes malgré eux je crois cest devoir tout état sérieux qui initie de lois qui protège vie de citoyens et qui protègent deux mêmes alors ce soit dirigé contre genre ne devrait pa être mal pris car cest dabord lintention protéger femme qui nest pa une mauvaise chose soi,@oswaldedgardalowanou3673,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 16:10,0.0,0.0
propos misogyne où,@r1469-k7l,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 15:58,0.0,0.0
kamala harris candidate par opportuniste,@jeanpaul6095,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 15:41,0.0,0.0
ce sondage de moins an votent pour kamala et votent pour trump est problématique comment expliquer ça,@maxpierre295,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 15:35,0.0,0.0
lesdamende ce plateau ou même tousles plateau télévision occident semblent tombées dans misandrie à travers soit disante personnage donald trump,@mahamoudhaidara1937,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 15:31,0.0,0.0
je crois cest exactement rôle dun président protéger ce concitoyens hommes ou femmes quils veulent ou non oubien,@maxpierre295,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 15:27,0.0,0.0
vous faites honte,@marcelchristkonan7810,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 15:14,0.0,0.0
campagne médiatique française anti trump oligarchie mondialistes ont peur perdre pouvoir et peur trump fasse paix avec poutine,@fernanddell5923,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 15:02,0.0,0.0
droit de hommes,@jaimemulumba9463,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 15:00,0.0,0.0
et droit de pedos on parle,@serenityresort4812,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 14:53,0.0,0.0
vous avez trop cru démocrate avez monopole de femmes bande comique vous avez rien compris race humaine mdr,@bozzewr5395,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 14:52,0.0,0.0
pour être honnête je ne comprend pa trop polémique cest quoi problème vouloir protéger femmes même sil dit contre leur volonté ça reste pour protéger quand je vois statistiques de agressions sexuelles à ratp je demande bien pourquoi france personne ne reprend concept,@thomasmaurin3270,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 14:42,0.0,0.0
je nai pa compris vous êtes train commenter campagne américaine ou vous êtes pro démocrate cest dingue critiquer deux tout montre vous êtes contre trump biden dit électeurs républicains sont de ordure vidéo,@hervepatrickngao4141,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 14:26,0.0,0.0
femme trump,@hahapasdechance,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 14:19,0.0,0.0
vous parlez liberté femme quand sa fille ne veut pa participer tant quactrice à lélection vous criez au scandalehey fermer,@hervepatrickngao4141,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 14:18,0.0,0.0
trump zero,@hahapasdechance,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 14:16,0.0,0.0
vous êtes pathétiques finalement aller voté à place de américains médias français aiment sucer me amricains quand élection france usa sen fiche on fait passer juste linfo,@hervepatrickngao4141,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 14:15,0.0,0.0
première démocratie du monde cof cof cof je métouffe là elle est peutêtre première mais partant fin,@yamatonofuransu4360,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 14:09,0.0,0.0
etatsunis sou développés donald trump violeur,@Arc-k8r,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 14:08,0.0,0.0
à chaque fois jecoute propos sur droit de femmes disposer leur corp je demande si femmes occidentales sont artificielles ou naturelles,@ptnsaka9833,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 14:01,0.0,0.0
kamala ou trump aucun nest vraiment intéressant pour leurs programme fait du blabla genre pour soi disant savoir pour qui voter alors quon parle dun futur président cest tellement ba plafond autant jai envie respecter gen du plateau autant je trouve sujet fonds toutes cette conversation est vide sen kamala est inapte au pouvoir trump est bien trop dangereux pour pouvoir si seulement il avait dautres voies viables fond daujourdhui cest soi choisir faiblesse kamala ou lopportunisme imbécile trump,@karnifex9757,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 13:57,0.0,0.0
paille dans oeil poutre dans lautre et quand je dis poutre je devrais dire forêt toute entière il est super lucide et clair dans s explication jeaneric branaa quand il explique ce sont médias dans leurs partis pris et leurs présentations ou pa de choses qui ont quelques sortes savonné planche kamala harris et ce alors même bilan aurait été complètement à linverse ça euh on mêmes à maison qui ont savonné et resavonné et rerere savonné planche gauche pour faire sorte soidisant involontairement douvrir boulevard au rn on mêmes quand il sagit systématiquement discréditer tout discours qui serait favorable à une aide augmentée à lukraine qui aurait pour conséquence risquer déventuellement possiblement fâcher avec poutine on mêmes quand il sagit sextasier dune augmentation du smic euro et dexpliquer dans toutes langues possible ce même smic à euro serait une catastrophe mondiale universelle pour léconomie française mêmes qui lon entendra larmoyer à noël devant file dattente aux restos du coeur mêmes lon entendra larmoyer quand prochain missile russe détruira une nouvelle maternité mêmes lon entendra sinquiéter colère qui à moment ou à autre montera dans rue mêmes lon entendra larmoyer quand nouveaux attentats terroristes viendront endeuiller paris mais qui sesclaffent à chaque nouveau pâté dimmeuble rasé par israël au liban pffff cest exactement ça petite poussière dun côté et loeil crevé lautre,@laurentmarlequin6730,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 13:55,0.16666666666666666,0.8333333333333333
allez trump,@STEPHANIEBERTHET-m8f,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 13:55,0.0,0.0
non laemes guerre mondiale mais guerre mondiale mediatique de mensongeurs loccident honte vous,@salumusankaranyundu5491,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 13:51,0.0,0.0
enfermé cette cinglé enfermé vie elle est fausse il raison il faut de épaules pour gouverner pay il faut pa une dégénèré qui veut armée collégiens,@Foxmaximo-w4t,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 13:51,0.0,0.0
selon vous cest quoi disposé corp,@ATSAVEDIKomlanviGael-jr1hi,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 13:43,0.0,0.0
trump cest chute,@pascalepadlo906,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 13:40,0.0,0.0
ça leur plaise ou non ça sadresse aux gen équipe qui lui déconseillaient lier deux sujets cest quand même simple à comprendre il semble,@WHugues,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 13:30,0.0,0.35714285714285715
cest lui gagnant de élections américaines voter pour lui pour vôtre bien,@MarcelKabanza,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 13:30,0.0,0.0
trump est gangster,@Escherichiamericaregretagain,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 13:29,0.0,0.0
et vous conscient sue personne ne vous crois vous êtes vraiment minable,@grevdfs,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 13:17,0.0,0.0
ca instaure une inégalité femmes de différents etats cest principe même du modèle fédéral mais bon nallons pa demande à larbin télévisuel connaître strict minimum droit constitutionnel avant den traiter public quand bien même il traite quiconque à de opinion divergentes de siennes inculte qui ne lit pa,@riton1112,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 13:11,0.0,0.06666666666666667
harris is going to win the presidency trump is racist fascist and heinous fellow is loser,@CHEAmba,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 13:09,0.8,0.4
kamala harris nétait pa charge limmigration digne du ministère vérité comment réécrire faits cétait principale mission biden lui avait confiée cest vérifiable,@riton1112,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 13:08,0.0,0.0
bravo à vous madame et monsieur cet éclairage,@chribeldang6454,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 13:08,0.0,0.0
vous devriez faire attention à vos propos quand donald trump serum élu président vous changerez narratif il quoi danormal quun homme surcroit président veuille protéger une femme,@BrazzaHipHop242,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 13:05,0.0,0.0
the bos,@jerome3615-d1r,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 23:01,0.0,0.0
il va gagner malgré vos commentaires désobligeants,@mams3266,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 22:31,0.0,0.0
jaime bien ce gar,@Almad07,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 22:26,0.0,0.0
jus dorange dans camion poubelle il vaut mieux au lieu dire de conneries,@louisalain2494,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 22:23,0.0,0.0
you are fake news,@jeanpatrice3548,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 22:22,-0.5,1.0
cest bonhomme,@MaryMartyphotographe,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 22:05,0.0,0.0
pauvre abrutis questce va faire à ton âge,@albertvives9348,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 21:58,0.0,0.0
porc il est aussi repoussant quil est mentalement limité culturellement ignare incompétent tout ce quil pitoyablement tenté dans sa vie plus detre menteur pathologique sociopathe et dictateur herbe sa seule place est prison et il va aller,@MarioMaccaferriRules,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 21:52,0.0,0.0
vive trump ba mondialistes bfm ba lue,@Vasaha-j7y,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 20:44,0.0,0.0
vrai malade mental pape de conspirationnistes il orcs putitler et lui,@fastsheep3964,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 20:23,-0.1,0.2
trumpthe living proof of the usa degeneration,@rodbar3112,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 20:08,0.0,0.0
amorrites,@DarkLight-l5j,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 20:01,0.0,0.0
très drôle,@helenefalcimaigne189,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 19:32,0.0,0.0
il n rien d obsene il vait probleme avec micro qui ete mal reglé vos prejugé et vos fake news ne marche toujours pa trump serum maison blanche maga ne tombera jamais,@kalala6486,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 19:11,-0.5,1.0
boycotte israhell genocide v france,@Xm4-ht5,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 18:56,0.0,0.0
ça vous chier hein bfm trump soit futur président de usa,@kingwarrior6044,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 18:49,0.0,0.0
c,@laurentwallon9098,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 18:43,0.0,0.0
méchants promènent toutes part tandis de gen abjects sont elevés fils de hommes psaume v car c est du coeur viennent mauvaises pensées meurtres adultères impudicités vols faux témoignages calomnies voilà choses qui souillent l homme mais manger sans s être lavé main cela ne souille point l homme evangile matthieu ch v,@beonfly1111,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 18:29,0.16666666666666666,0.3333333333333333
khazars ne pourront ce cacher bien longtemps il ont peutêtre infiltrés létat et linstance politico juridique pour combattre christianisme mais chasse aux sorcières va bientôt frappé,@DarkLight-l5j,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 18:28,0.0,0.0
au moins il est rigolo ce vœux bonhomme,@shikanorikakuta-o4k,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 18:20,0.0,0.0
fishé loui pè donalde trumpe è in éro é redevyindra in supère prézidan,@lespucesduchien6300,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 17:34,0.0,0.0
il est tellement moche qu il est méchant,@GillesLAVIGNE-lj7hy,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 17:26,0.0,0.0
cest vousmême qui êtes obscènes trump estime micro est trop ba comment peutil faire discours dans ce condition cest ce quil miné lobscénité trouve dans votre esprit,@bogolaisbogolais,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 16:54,0.0,0.0
l éternel ieme president de etats unis d amérique on peut deja féliciter sa réélection,@charlesforces8732,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 16:39,0.0,0.0
il serum élu sur programme il été très bon président sans faire une guerre peuple américain va lélire avec de voix ce qui est pitoyable france cest voir médias wokisme faire danger mais ce sont ce médias qui sont danger car leurs argument va dans seul sen sans esprit contradiction,@alainsaintamand3968,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 16:30,0.0,0.0
et ça été président et il sont au bord remettre ce taré à tête lune de plus grande puissance et après gen sétonne cest bordel dans monde mais vius avez vu qui dirige tous ça,@batboy5087,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 16:30,0.0,0.0
bravo donald trump cest ca lon aime,@JamesPatagueule-u5d,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 15:43,0.0,0.0
obèses moumoute répugnantsale et orduriers comme s partisan ici et autres troll subsaharienne du klu klu klan pro putin de réel imbéciles lèche bottes trumpiste venu lextrême droite fachos et autres france,@tamatoatoahiva3992,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 15:40,0.0,0.0
vraiment c est autre monde usa président qui mime une fellation meeting on est très loin classe et dignité d gaulle idiocracy,@fofo24113,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 15:17,0.0,0.0
gestes obscènes demande mariage pourquoi aije limpression point suspension sont là pour décridibiliser personne alros bra du micro est aussi ba humour réparti connaissezvous noter dans contexte avec tant pression cest étonnant une telle décontraction plein meeting mais cest peutêtre pour ça aussi gen apprécient dtrump bfm totallement biaisé ici,@shoobymaster,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 15:12,0.0,0.0
désinformation de médias mainstream pls à lidée dune victoire trump cest femme du public qui demandé mariage mais pour comprendre cela il faudrait commencer par parler anglais et avoir tant soit peu dobjectivité,@hugoengels850,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 15:08,0.0,0.06666666666666667
quel clown stupide s partisan encore plus,@danyseg2000,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 14:34,0.0,0.0
bfm votre parti pris est imbuvable tous vos article concernant présidentielle américaines sont orientés faveur harris france ou à létranger votre idéologie et votre propagande arrivent à bout souffle et vous finirez comme collabos,@matthieum5752,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 14:01,0.0,0.0
kamala banania merde,@Stonhenge556,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 13:47,0.0,0.0
supertrump,@Stonhenge556,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 13:47,0.0,0.0
ludicrous bitter orange making america ridiculous again,@AndrewPate-q6r,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 13:44,-0.21666666666666667,0.75
vote for president trump is vote for restoring the american dream,@ScarlettWestFL,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 13:26,0.0,0.0
ce mec est représentation parfaite vulgarité et lobscénité et auditoire rit aux éclats cest affligeant,@christellep75,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 13:25,0.0,0.0
harris,@patrickcerta4998,https://www.youtube.com/watch?v=kx74lmIv4xA,,02/11/2024 13:21,0.0,0.0
