Comentario,Autor,URL_Video,Fecha_Publicacion_Video,Fecha_Publicacion_Comentario
hi usa,@krzysztofdziadosz417,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,27/03/2024 10:22
modern firaun,@His_nyx,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,27/03/2024 05:19
sorry joe football won pm of netherlands,@RonaldoSuiiMessiuuuu,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,26/03/2024 22:14
mexico is better than usa,@evettelopez2965,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,26/03/2024 19:50
it actually called football,@davidberaru2014,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,26/03/2024 19:13
it called fußball,@Julius_Goat,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,26/03/2024 06:44
bro that ball woulda knocked him out,@xxnxx303,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,26/03/2024 03:04
joe biden is so creepy man,@DanielGarcia-ti8fy,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,26/03/2024 02:19
here yes d rest of d galaxy futbol,@Javier-202,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,25/03/2024 16:36
they did it go usa champion,@teriwoos235,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,25/03/2024 06:11
usa is in the final,@Gameingkid3672,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,25/03/2024 03:04
only country in the world to call the game hole other name while they called handball game football amazing,@redfire1094,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,25/03/2024 02:13
viva mexico,@Wafergang8253,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,25/03/2024 01:41
it called handball,@morganp1166,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,25/03/2024 00:03
vamos let go mexico,@HalaMadrid-xe9if,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,24/03/2024 21:40
sorry usa football win,@ItsCorn-N,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,24/03/2024 20:53
kane curse now biden curse,@juancruz6525,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,24/03/2024 02:56
usa hhahaha mexico bruh,@Andrew-g2i5m,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,23/03/2024 22:45
it called football not soccer,@hamer1030,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,23/03/2024 16:17
people from uae qutar saudi arabia yemen oman and others arab country are angry now,@angiesuwal8390,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,23/03/2024 14:45
i wa in shock caught the ball i had to loop it couple of time and now all i can think about is how many take that one clip took,@Xgeneration28,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,23/03/2024 13:10
such globalist commie is,@markrob205,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,23/03/2024 02:19
soccer never heard of it look like football to where you actually use your foot not your hand,@Thematrix075.,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,22/03/2024 22:37
hand ball,@AlamarShorts-real-,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,22/03/2024 15:37
it called football creepy jow,@farzanazahir1332,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,22/03/2024 12:49
nah,@Fluxwave_1,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,21/03/2024 18:09
netherlands sorry usa but football won,@Cybernetic373,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,21/03/2024 14:16
it kinda sad to watch this clown it more sad that half of american supposedly voted him in,@tobeygarcia661,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,20/03/2024 20:33
it not called soccer bro it football,@im_just_kiwi_btw3815,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,20/03/2024 19:56
bro it called football not soccer,@FarisBilal-lp8sy,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,20/03/2024 14:32
united state mutant ninja turtle,@sanguinem8554,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,20/03/2024 05:32
it called nursing home,@JosephZarucki,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,20/03/2024 04:59
president got fax,@veshremyisthebestt,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,20/03/2024 01:14
is not call soccer this is called football,@BEOXJDIGUSJ,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,19/03/2024 18:59
yall are gon na get your back blown out the cup,@BLBaconYT,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,19/03/2024 14:29
it called futból,@Ghost_rl.,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,19/03/2024 00:20
way did said it called soccer,@kaledZacharias,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,19/03/2024 00:14
joe biden is not president he cheater and fraud,@Banned0perator,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,18/03/2024 21:43
it call football but then according to joe biden tbe greatest thing about the usa is asufutimaehaegfurbw so who can argue with those smart,@clairemason4103,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,18/03/2024 11:05
empty crowd yeeeaaahhh,@Baby_yoda_king,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,16/03/2024 20:51
i wonder how many take it took to get it right,@evanskyule,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,16/03/2024 15:45
it called soccer yeh and it called being intelligent person and calling it football,@Avr-g7g,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,15/03/2024 22:44
it better be mexico,@Mexicoalltheway,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,15/03/2024 17:12
take go iran go russia go canada called hockey im joe kennedy,@myklemonde5849,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,15/03/2024 16:38
it called failure,@johnclarkstoninson,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,15/03/2024 16:14
netherlands be like,@nurbegum8140,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,15/03/2024 15:51
i wonder how many take the crew to do until potato head caught the ball,@ImjoebidenIlovelittlegirls,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,14/03/2024 18:24
the fact can even catch the ball is somewhat shocking to,@rylen2748,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,14/03/2024 15:13
it called dementia go out the office,@Dhammavikasati,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,14/03/2024 08:14
កឌយមហង មចបនហងបន ផដច taxi booking របសអញ បរជធតយយ កឌយមហងអឆកថកទប អយអញចយ បរពនធ ហង មក ចអញនយយកបអញអយ អឆក អតបរយជន ពកវនយយពផកយរណបមកបរហនពក វ ផដច មខរបរ របស មនសសរកស រសន អយនយយកបអញ កថខញ ឈលស អយស វនយយ តណង អឯង នង រដឋសភ american,@AdogRomlobsitmomus,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,14/03/2024 06:40
netherland honest reaction,@mphaider9515,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,14/03/2024 05:34
i thought he gon na say basketball,@nomadicnatureasmr5258,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,13/03/2024 23:26
usa,@dwegner3460,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,13/03/2024 21:37
it is called futbal ashley,@Batman-7l1,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,13/03/2024 19:37
not even nd round,@MrGorilla0404,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,12/03/2024 21:56
what prick,@johndardi1334,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,12/03/2024 08:48
u sure,@Clukr_Official,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,11/03/2024 17:57
it called fútbol go mexico,@JulianVersion1,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,11/03/2024 15:07
it football,@jabepattijn9466,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,11/03/2024 12:29
usa will probably never see actual world cup win,@mufasa6366,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,11/03/2024 12:05
we called it football and this is rugby,@prof_iji,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,11/03/2024 10:56
cheap message from the most anti usa president in recent history what joke jim crow joe,@EricFortuneJr.,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,11/03/2024 07:50
hello mr president,@JuanManuelVargasPerea-xx9bu,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,10/03/2024 03:05
least didnt fumble the ball here,@Mortal_Silhouette,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,09/03/2024 21:57
bro hand it not the,@Aldc_AlwayZ,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,09/03/2024 17:18
fifa is better than nfl,@ChristianAlynLind2007,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,08/03/2024 07:02
call futból,@Yellowstudios-s3m,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,07/03/2024 22:53
bro just demotivated the team,@CashCutri,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,07/03/2024 17:52
bro they shouldnt have did trump,@Fnaf12314,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,06/03/2024 21:47
uk is better but i like usa,@footykidddd417,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,06/03/2024 19:33
ive never been so unmotivated,@wholesell4349,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,06/03/2024 15:21
sucker,@EwelinaGrabiszewska,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,06/03/2024 03:38
glad to see him doing activity in his nursing home,@albertvangestal3696,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,05/03/2024 12:14
fifa and the whole sport is coward with mask,@Axxis88,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,05/03/2024 03:14
yeah cause they suck,@victormoreno2997,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,05/03/2024 01:41
biden is terrible president in history of usa,@Monacho1975,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,04/03/2024 22:38
how many take,@Thomas-n1n4o,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,04/03/2024 20:54
it is called football,@peaceofhevean,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,04/03/2024 17:00
tf,@mrtutorial9889,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,04/03/2024 10:52
the moment said soccer yea bud your not gon na win it,@hashshashiin.forsī,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,04/03/2024 08:00
you mean mr zombie,@macs3948,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,04/03/2024 06:41
looking at bidens expression it seems like constantly gust of wind on his face,@robertoportorico5524,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,02/03/2024 21:00
yeeees of coooourse doesnt now what he talking about,@RespectZlatanthelion,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,02/03/2024 20:58
it football u dementia guy,@devispromen,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,02/03/2024 20:21
bro just started mini war with the uk,@Basic_Purple,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,02/03/2024 17:34
it called soccer,@davidpeters3857,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,02/03/2024 17:26
bro it football it make more sense,@X-0-9-7-5,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,02/03/2024 15:47
president dont know football,@Sucesswitheffort1,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,02/03/2024 02:37
bruh usa got humiliated by netherlqnds,@JakubPlaneta,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,01/03/2024 17:48
shut up,@Fatboy873,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,01/03/2024 13:55
it football mate,@aousgamer9478,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,01/03/2024 12:13
robot,@Vidsbycorey0,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,30/03/2024 23:02
hahahahah,@TheeCandyman019,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,30/03/2024 21:48
bro need training wheel,@rkg5deploy,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,30/03/2024 20:23
fall down fall down,@jessethomas4235,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,30/03/2024 18:19
once you learn how to ride bike you never forget unless youre president of the united state of america and you have alzheimers,@HardestTargett,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,30/03/2024 05:31
never underestimate joes ability to fuck thing up barack obama,@HogMan2022,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,30/03/2024 02:43
what joke is,@Areyoutalkingtome781,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,30/03/2024 02:23
wa probably in big hurry to get to the nearest ice cream shop,@jimmydeanpatterson1422,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,30/03/2024 01:00
is mr bean come on go back into nursing home,@angelos.9690,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,29/03/2024 16:49
honestly now that i see what happened i dont blame him for falling over but im confused had those cage in the first place,@Blixo_edits,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,28/03/2024 19:33
the leader of the free world,@originalrenigade,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,28/03/2024 16:56
guess biden didnt understand the gravity of his policy,@somerandomperson_23,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,28/03/2024 12:36
really people let see how our cognitive skill and physical agility and balance hold up when we hopefully reach,@tommaxson9798,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,28/03/2024 12:28
when fell down i feel like carl from the aquateenhungerforce when said just stay down there,@BillnoskyBillford,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,28/03/2024 11:38
look at the first person in the usa,@Admin-ns7sd,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,28/03/2024 10:24
is kejriwal of usa always in trouble,@nishadsawant4402,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,28/03/2024 04:00
im voting trump,@janetholt2412,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,28/03/2024 00:04
didnt look both way,@DigitalDaffodil,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,28/03/2024 00:00
so everyones just gon na let them enslave u they are letting in million of illegals into the border they are letting rapist and cartel murder that come in illegally go you can look this up on google people and they give them free food free phone and free housing a long a they vote next election treating them better than the american people thats why they want the mail in ballot because they are going to steal it again last one the judge were paid off and everyone went eh ok so everyones going to struggle to survive and starve and get taxed to death while they sip champagne laughing at you oh and best part about of all of that youre paying for it with your tax money you are paying for your own enslavement god help these sheep,@Kindly_1,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,27/03/2024 19:58
biden now wear anti fall shoe,@mr.joshua204,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,27/03/2024 16:06
maybe help him and get the nobel peace price,@Blancoo444,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,27/03/2024 15:26
trump would never embarrass himself this way just awful,@tylercfallon,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,26/03/2024 21:08
what you expect from zombie,@TheOrgil220,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,26/03/2024 16:19
need to be in baby stroller not an damn bicycle what the hell wrong with your people cant you say he not capable of riding bike this is senior abuse lol,@stevencagle4746,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,26/03/2024 13:31
and is the president,@yashwanth5674,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,26/03/2024 04:09
fall loser hahahahahah,@Necibumbles13,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,25/03/2024 14:46
biden cant get out of chair let alone off bike,@Fawkyoutube,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,25/03/2024 11:46
tour france chute à larrière du peloton jean rené godard à moto,@67mojito,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,24/03/2024 16:05
why got the cage,@MihoMLC127,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,24/03/2024 15:50
this could be his gc over,@timmycarey1958,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,23/03/2024 21:11
why give him bike with those stupid peddles it make sense not bright idea a observed here,@phil6bien,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,23/03/2024 19:00
thats why you should sub to donald trump fr,@AMERICAAAWW,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,23/03/2024 17:48
he on bike at over year old im so impressed life happens,@HopeWins777,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,23/03/2024 13:36
very funny,@Mzansi_remedialChannel,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,23/03/2024 11:25
thats how the right will take him down come election,@allanmoore2169,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,22/03/2024 15:10
it joeover,@Animallover24678,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,22/03/2024 15:05
news,@Qodir_03,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,22/03/2024 14:59
trump cant get leg over bike biden win,@BAtadCrazy,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,22/03/2024 12:37
trump wont be able to get on bike not with his giant gut and they would have hazmat confiscate the seat and his diaper if wa able to get on the bike,@khultherro8613,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,22/03/2024 03:04
i wa literally standing there last year fun fact i saw him in august of i drove on the trail to it fun,@Messigoat108BALLON_DOR,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,22/03/2024 00:30
when wa the last time we saw don doing exercise golf doesnt count,@samueldoctor4227,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,21/03/2024 23:29
honestly for someone his age he actually in decent shape,@WilliamCheeks-kz6om,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,21/03/2024 21:25
lol,@wentrens4933,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,21/03/2024 17:17
trump supporter wouldnt know how easy it can be to get your foot caught in one of those pedal cage youd never find them on bike,@1objection,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,21/03/2024 16:48
bike trying to save america,@tc3983,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,21/03/2024 16:44
should be in bed,@areebalam4553,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,21/03/2024 15:41
joe biden retire bos put someone else retire buy farm in texas and enjoy your life,@Asta309-m6n,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,21/03/2024 08:14
this is the funniest thing ive seen this year the analysis the australian accent is epic,@joshokoebor2662,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,21/03/2024 03:09
poor joe,@williammann9816,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,20/03/2024 11:52
ooooooopsie,@geneedmonds3674,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,20/03/2024 02:03
when biden fall down the ground make the sound of trump name somebody meme that and add audio of the ground saying trump instead of plop,@qthirteen13,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,20/03/2024 00:47
old dement man that shouldnt be more then the president of retiring home,@robinomoike5874,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,19/03/2024 21:22
the bike is underage,@realmeee,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,19/03/2024 19:48
whoever put the cage on aint got job more,@mrshaftshots,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,19/03/2024 18:39
maggot,@talltimbot,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,19/03/2024 18:21
боже какой позор,@angelinamikhaleva7268,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,19/03/2024 14:20
this is perfect example of how bidens presidency is going,@cornellmuldrow435,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,19/03/2024 13:43
whose got my snake bro the tweakers or the immigrant disrespect or the bike bandit that god father breakfast pizza wa delicioso,@DerickJohnson-f9j,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,19/03/2024 08:55
dex int,@trashboity8773,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,19/03/2024 05:37
what an embarrassment,@toughgirl6837,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,19/03/2024 04:26
probably shouldnt have encapsulated pedal,@richarde.plante3292,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,19/03/2024 04:15
we cant fight gravity don joe biden,@cacbishop1462,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,19/03/2024 03:54
now show the part where the reason why deviated from his bike path wa to talk to little girl spotted in the crowd,@mansterj,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,19/03/2024 03:15
only person in the history of human that forgot how to ride bike,@ByronCharles-vv1pe,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,19/03/2024 02:05
loll,@charlesgonzalez5914,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,19/03/2024 01:50
there it isnot just thigegot stuck those one,@lewisrosenbaum5907,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,19/03/2024 00:34
i honestly cant blame him for this one ive done that,@ZoeyaEstq,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,18/03/2024 23:10
put the training wheel back on,@awesomemom533,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,18/03/2024 13:21
make humpty dumpty irrelevant,@thelolguy007,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,18/03/2024 11:54
biden fart and fall,@dooo0000,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,18/03/2024 00:28
hand him an fuc icecream,@renukanagul1389,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,17/03/2024 15:49
well at least now we know why it happened lol,@soniablades7031,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,16/03/2024 17:32
saw some child and lost all control like usual,@candace289,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,16/03/2024 00:04
biden go down,@oftrumpplays7788,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,15/03/2024 17:50
zero budhau,@nitinvirdiramgarhia4486,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,15/03/2024 17:23
light breeze will cause joe to fall down,@oo7chicken112,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,15/03/2024 17:11
they will soon upload the video to kaotic for such horrendous accident i cant believe big joe who cant even stand up even octagenarians feel sorry for poor perverted joe,@danenson94,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,15/03/2024 00:29
the play by play commentary is what got,@TrojanMan2886,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,14/03/2024 20:54
im dying why is this funny,@Verriiberrii,https://www.youtube.com/watch?v=B1maDFJ2DGc,18/06/2022 15:57,14/03/2024 15:45
